,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,dockerhub_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,projectrank_placing,github_release_downloads,dockerhub_stars,trending,new_addition
13,Grid2Op,mrl,"['python', 'jupyter']",,rte-france/Grid2Op,https://l2rpn.chalearn.org/,MPL-2.0,A testbed platform to model sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,2019-10-10 17:04:46,2022-07-11 08:40:15.000000,2022-07-05 13:47:42,2138.0,,82.0,15.0,138.0,184.0,196.0,21.0,20,True,45.0,Grid2Op,,bdonnot/grid2op,https://grid2op.readthedocs.io/en/latest/,2022-07-05 13:48:22,1.7.2,16.0,,,https://pypi.org/project/Grid2Op,442.0,658.0,,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,8219.0,1.0,,1.0,,
14,PowerSimulations.jl,steady-state,['julia'],,nrel-siip/powersimulations.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Optimization Simulation and Modeling of Power Systems; Part of the SIIP at NREL.,https://github.com/NREL-SIIP/PowerSimulations.jl,2017-11-03 21:11:22,2022-12-02 16:14:27.000000,2022-12-02 07:51:02,7167.0,37.0,42.0,16.0,657.0,208.0,185.0,28.0,20,True,16.0,,,,https://nrel-siip.github.io/PowerSimulations.jl/latest/,2022-12-02 16:06:13,0.15.10,68.0,,,,,,,,,,2.0,,,,
15,PYPOWER,steady-state,['python'],,rwl/PYPOWER,rwl.github.io/PYPOWER/api/,BSD,Port of MATPOWER to Python.,https://github.com/rwl/PYPOWER,2009-05-22 12:14:47,2022-06-24 05:19:46.000000,2022-06-24 05:19:46,342.0,,89.0,26.0,40.0,11.0,246.0,18.0,19,True,24.0,PYPOWER,pypower,hwanghust/pypower,http://rwl.github.io/PYPOWER/index.html,2021-03-22 22:06:27,5.1.15,13.0,70.0,70.0,https://pypi.org/project/PYPOWER,2116.0,2116.0,https://anaconda.org/anaconda/pypower,https://hub.docker.com/r/hwanghust/pypower,2019-05-19 07:28:05.197725,16.0,2.0,,,,
16,PyPSA-Eur,steady-state,['python'],,PyPSA/pypsa-eur,https://pypsa.org,MIT,Open Optimisation Model of the European Transmission System.,https://github.com/PyPSA/pypsa-eur,2017-10-11 23:54:41,2022-11-29 10:39:01.000000,2022-11-29 10:39:00,1159.0,83.0,103.0,14.0,279.0,117.0,164.0,34.0,19,True,50.0,,,nimfetrisa/pypsa-eur,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,2022-09-20 16:38:33,0.6.1,9.0,,,,,0.0,,https://hub.docker.com/r/nimfetrisa/pypsa-eur,2022-04-11 21:54:31.539284,35.0,2.0,,,,True
17,LTB andes,dynamic,"['python', 'jupyter', 'ltb', 'curent']",,cuihantao/andes,https://github.com/cuihantao/andes,GPL-3,Transient Stability Simulator with Hybrid Symbolic-Numeric Framework; Part of CURENT LTB.,https://github.com/cuihantao/andes,2016-11-07 01:04:50,2022-12-02 20:20:48.000000,2022-12-01 03:48:05,4283.0,58.0,60.0,13.0,239.0,40.0,135.0,16.0,19,True,4.0,andes,andes,cuihantao/andes,https://docs.andes.app/en/stable/,2022-03-27 17:07:13,1.6.2,18.0,6.0,6.0,https://pypi.org/project/andes,275.0,276.0,https://anaconda.org/anaconda/andes,https://hub.docker.com/r/cuihantao/andes,2020-12-10 15:50:41.614180,110.0,1.0,,,,
18,powerplantmatching,data,['python'],,PyPSA/powerplantmatching,https://pypsa.org,BSD-2,https://powerplantmatching.readthedocs.io/en/latest/.,https://github.com/PyPSA/powerplantmatching,2016-08-15 16:36:25,2022-12-01 18:56:37.000000,2022-12-01 18:56:37,743.0,40.0,35.0,18.0,36.0,42.0,93.0,15.0,19,True,12.0,powerplantmatching,powerplantmatching,,https://atlite.readthedocs.io/en/master/?badge=master,2022-08-02 17:09:56,0.5.4,11.0,12.0,12.0,https://pypi.org/project/powerplantmatching,82.0,82.0,https://anaconda.org/anaconda/powerplantmatching,,,,3.0,36.0,,,True
19,PowerModels.jl,steady-state,['julia'],,lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,BSD,Power Network Optimization.,https://github.com/lanl-ansi/PowerModels.jl,2016-08-01 20:30:54,2022-12-02 17:20:39.000000,2022-12-01 03:48:41,942.0,3.0,112.0,23.0,404.0,347.0,295.0,25.0,18,True,96.0,,,,https://lanl-ansi.github.io/PowerModels.jl/stable/,2022-12-02 17:16:58,0.19.7,69.0,,,,,,,,,,3.0,,,,
20,py-dss-interface,steady-state,['python'],,PauloRadatz/py_dss_interface,https://github.com/PauloRadatz/py_dss_interface,MIT,Providing access to OpenDSS direct dll version of OpenDSS.,https://github.com/PauloRadatz/py_dss_interface,2020-06-12 18:58:36,2022-11-23 19:57:55.000000,2022-11-23 19:57:53,430.0,62.0,6.0,6.0,44.0,21.0,15.0,5.0,18,True,32.0,py-dss-interface,,,https://py-dss-interface.readthedocs.io/en/latest/,2022-07-23 19:49:38,1.0.3,1.0,13.0,13.0,https://pypi.org/project/py-dss-interface,192.0,192.0,,,,,3.0,,,,True
21,PowerSimulationsDynamics.jl,dynamic,['julia'],,NREL-SIIP/PowerSimulationsDynamics.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Dynamic Power System simulations; Part of the SIIP at NREL.,https://github.com/NREL-SIIP/PowerSimulationsDynamics.jl,2020-07-16 19:36:16,2022-11-29 17:48:49.000000,2022-11-29 07:21:51,2237.0,18.0,24.0,11.0,172.0,75.0,100.0,10.0,17,True,36.0,,,,https://nrel-siip.github.io/PowerSimulationsDynamics.jl/stable/,2022-10-06 03:22:23,0.10.7,29.0,,,,,,,,,,2.0,,,,
22,PyPSA-Eur-Sec,steady-state,['python'],,PyPSA/pypsa-eur-sec,https://pypsa.org,MIT,Sector-Coupled Open Optimisation Model of the European Energy System.,https://github.com/PyPSA/pypsa-eur-sec,2019-04-17 15:43:45,2022-12-03 13:43:10.000000,2022-11-28 17:52:18,897.0,115.0,41.0,14.0,170.0,57.0,65.0,20.0,16,True,61.0,,,,https://pypsa-eur-sec.readthedocs.io/en/latest/?badge=latest,2021-10-04 16:15:09,0.6.0,6.0,,,,,,,,,,3.0,,,,True
23,GridPath,steady-state,['python'],,blue-marble/gridpath,https://www.gridpath.io/,Apache-2,Power system planning and operations.,https://github.com/blue-marble/gridpath,2016-08-12 18:13:28,2022-12-04 04:04:33.000000,2022-06-21 21:56:13,1317.0,,25.0,9.0,666.0,236.0,64.0,7.0,16,True,62.0,,,,https://gridpath.readthedocs.io/en/latest/?badge=latest,2022-06-21 21:59:32,0.14.1,21.0,,,,,12.0,,,,,3.0,377.0,,,
24,EGRET,steady-state,['python'],,grid-parity-exchange/Egret,https://github.com/grid-parity-exchange/Egret,BSD,Tools for Power Systems Optimization Modeling.,https://github.com/grid-parity-exchange/Egret,2019-01-28 18:41:03,2022-11-02 15:32:12.000000,2022-11-02 15:32:12,1028.0,14.0,42.0,15.0,216.0,37.0,96.0,38.0,15,True,42.0,,,,,2022-02-28 20:44:04,0.5.2,3.0,2.0,2.0,,,,,,,,3.0,,,,
25,PowerSystems,dynamic,,,modelica-3rdparty/PowerSystems,https://github.com/modelica-3rdparty/PowerSystems,https://modelica.org/licenses/ModelicaLicense2/,Modelica 3rd party library for electrical power systems.,https://github.com/modelica-3rdparty/PowerSystems,2013-04-19 08:46:45,2022-11-01 12:59:23.000000,2022-06-19 16:27:27,186.0,,33.0,31.0,17.0,25.0,47.0,10.0,14,True,9.0,,,,https://build.openmodelica.org/Documentation/PowerSystems.html,2018-11-12 21:15:19,1.0.0,5.0,,,,,,,,,,2.0,,,,
26,PowerGraphics,vis,['julia'],,nrel-siip/powergraphics.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Visualization Program for PowerSimulations; Part of the SIIP at NREL.,https://github.com/NREL-SIIP/PowerGraphics.jl,2020-02-19 23:29:27,2022-11-17 04:51:46.000000,2022-11-17 04:46:49,515.0,4.0,8.0,8.0,74.0,20.0,19.0,9.0,12,True,10.0,,,,https://nrel-siip.github.io/PowerSimulationsDynamics.jl/stable/,2022-08-27 12:40:34,0.12.1,32.0,,,,,,,,,,1.0,,,,
27,STEPS,dynamic,,,changgang/steps,https://github.com/changgang/steps,MIT,Balanced large-scale AC-DC hybrid power system analysis.,https://github.com/changgang/steps,2019-08-24 12:09:47,2022-09-26 10:45:08.000000,2022-04-13 13:08:17,532.0,,11.0,2.0,,1.0,26.0,3.0,8,True,,,,,https://github.com/changgang/steps/wiki/,2020-09-27 10:38:25,1.4,4.0,5.0,5.0,,,0.0,,,,,3.0,8.0,,,
28,OpenHybridSim,dynamic,,,OpenHybridSim/OpenHybridSim-code,https://github.com/OpenHybridSim/OpenHybridSim-code,BSD-3,Power system Electromagnetic Transient-Transient Stability hybrid simulation.,https://github.com/OpenHybridSim/OpenHybridSim-code,2015-01-17 03:59:14,2020-05-05 20:35:13.000000,2020-05-05 20:35:12,16.0,,5.0,5.0,,,7.0,,6,False,1.0,,,,,,,,,,,,,,,,,3.0,,,,
29,andes_gym,mrl,"['python', 'curent']",,cuihantao/andes_gym,https://github.com/cuihantao/andes_gym,GPL-3,ANDES RL Environment for OpenAI Gym.,https://github.com/cuihantao/andes_gym,2020-04-19 18:18:34,2022-01-28 19:53:49.000000,2022-01-28 19:53:49,31.0,,3.0,2.0,1.0,,7.0,2.0,6,True,,andes,andes,,,,,,,,https://pypi.org/project/andes,275.0,275.0,https://anaconda.org/anaconda/andes,,,,3.0,,,,
30,LTB DiME,msg,"['ltb', 'curent']",,CURENT/dime,https://github.com/CURENT/dime,GPL-3.0,Distributed Messaging Environment for LTB; Part of CURENT LTB.,https://github.com/CURENT/dime,2022-04-06 15:10:35,2022-11-23 01:43:10.000000,2022-11-23 01:43:10,263.0,6.0,1.0,,2.0,,1.0,3.0,6,True,,,,,https://ltbdime.readthedocs.io/en/latest/,,,,,,,,,,,,,1.0,,,,
31,LTB AGVis,vis,"['ltb', 'curent']",,CURENT/agvis,https://github.com/CURENT/agvis,GPL-3.0,Geographical Visualization of Power Grid; Part of CURENT LTB.,https://github.com/CURENT/agvis,2019-08-30 19:15:27,2022-11-30 18:10:01.000000,2022-11-30 18:09:51,312.0,9.0,4.0,1.0,17.0,,1.0,7.0,6,True,,,,,https://agvis.readthedocs.io/en/latest/,,,,,,,,,,,,,3.0,,,,
32,Large-scale Testbed (LTB),cosimps,"['python', 'ltb', 'curent']",,CURENT/ltb2,https://github.com/CURENT/ltb2,GPL-3.0,"Large-scale Testbed, with SELF-DEVELOPED Engine.",https://github.com/CURENT/ltb2,2022-04-17 02:37:34,2022-11-30 18:18:37.000000,2022-11-30 18:10:41,35.0,8.0,1.0,,,,2.0,3.0,5,True,3.0,,,,,,,,,,,,,,,,,1.0,,,,
33,TSAT,dynamic,,,,https://www.dsatools.com,https://www.dsatools.com/dsatools-software-license-agreement/,Electromechanical Time-domain Simulation; Part of DSA Tools.,,,,,,,,,,,,,2,True,,,,,https://www.dsatools.com/tsat/,,,,,,,,,,,,,3.0,,,,
34,VSAT,steady-state,,,,https://www.dsatools.com,https://www.dsatools.com/dsatools-software-license-agreement/,Voltage Security Assessment using powerflow-based steady-state methods; Part of DSA Tools.,,,,,,,,,,,,,2,True,,,,,https://www.dsatools.com/vsat/,,,,,,,,,,,,,3.0,,,,
35,PSAT,steady-state,,,,https://www.dsatools.com,https://www.dsatools.com/dsatools-software-license-agreement/,Powerflow Analysis; Part of DSA Tools.,,,,,,,,,,,,,2,True,,,,,https://www.dsatools.com/psat/,,,,,,,,,,,,,3.0,,,,
