,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,new_addition,conda_latest_release_published_at,conda_total_downloads,dockerhub_stars,updated_github_id
10,Ipopt,ops,['python'],,coin-or/Ipopt,https://github.com/coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2019-01-28 12:24:22,2024-01-18 04:00:03.000,2024-01-18 03:56:59,2352,20.0,251.0,41.0,25.0,559.0,1209,30.0,25,True,6.0,ipopt,ipopt,https://coin-or.github.io/Ipopt/,2024-01-18 03:59:26,releases/3.14.14,10412.0,1800.0,20.0,,,https://pypi.org/project/ipopt,1569.0,https://anaconda.org/anaconda/ipopt,3.0,,,,,,,,,,
11,GridCal,steady-state,['python'],,SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,2016-01-13 15:40:10,2024-01-18 17:14:10.000,2024-01-18 15:37:15,3399,321.0,77.0,33.0,107.0,80.0,365,34.0,24,True,52.0,GridCal,,https://gridcal.readthedocs.io/en/latest/?badge=latest,2024-01-05 08:47:18,5.0.11,33.0,642.0,20.0,7.0,7.0,https://pypi.org/project/GridCal,642.0,,2.0,,,,,,,,,,
12,Atlite,data,['python'],,PyPSA/atlite,https://pypsa.org,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,2016-11-03 23:59:25,2024-01-16 13:09:03.000,2024-01-16 13:09:03,707,31.0,68.0,13.0,228.0,84.0,225,28.0,24,True,24.0,atlite,atlite,https://atlite.readthedocs.io/en/master/?badge=master,2023-10-25 10:29:04,0.2.12,,2204.0,11.0,47.0,47.0,https://pypi.org/project/atlite,2204.0,https://anaconda.org/anaconda/atlite,1.0,,,,,2.0,,,,,
13,precice,cosime,,,precice/precice,https://precice.org/,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,2015-05-22 14:05:22,2024-01-18 14:37:57.000,2024-01-18 14:37:10,4969,114.0,161.0,37.0,1128.0,612.0,635,55.0,23,True,178.0,pyprecice,pyprecice,https://precice.org/docs.html,2022-08-10 12:48:38,2.5.0,22373.0,531.0,25.0,,,https://pypi.org/project/pyprecice,96.0,https://anaconda.org/anaconda/pyprecice,3.0,precice/precice,https://hub.docker.com/r/precice/precice,2024-01-18 03:14:46.514621,13883.0,,,,,,
14,Grid2Op,mrl,"['python', 'jupyter']",,rte-france/Grid2Op,https://l2rpn.chalearn.org/,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,2019-10-10 17:04:46,2024-01-18 10:49:52.000,2023-12-01 09:41:19,2834,34.0,102.0,18.0,239.0,280.0,248,31.0,23,True,44.0,Grid2Op,,https://grid2op.readthedocs.io/en/latest/,2023-12-01 09:42:22,1.9.7,,2279.0,26.0,,,https://pypi.org/project/Grid2Op,2089.0,,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,9729.0,,,,,1.0,
15,pandapipes,gasnet,['python'],,e2nIEE/pandapipes,https://www.pandapipes.org/,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,2020-02-03 15:04:57,2024-01-16 12:05:54.000,2023-12-22 08:55:40,1754,103.0,47.0,10.0,428.0,77.0,107,20.0,23,True,46.0,pandapipes,,https://jkpandapipes.readthedocs.io/en/latest/,2023-12-22 10:36:39,0.9.0,,1958.0,16.0,15.0,15.0,https://pypi.org/project/pandapipes,1958.0,,1.0,,,,,,,,,,
16,Power Grid Model,steady-state,['python'],,alliander-opensource/power-grid-model,https://github.com/PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2024-01-18 09:44:48.000,2024-01-17 14:40:40,3991,435.0,20.0,5.0,359.0,64.0,100,18.0,23,True,43.0,power-grid-model,,https://power-grid-model.readthedocs.io/en/stable/,2024-01-17 15:29:16,1.6.53,601.0,12396.0,100.0,4.0,4.0,https://pypi.org/project/power-grid-model,12296.0,,2.0,,,,,,,,,,PowerGridModel/power-grid-model
17,AMPLPY,ops,['python'],,ampl/amplpy,https://ampl.com/,BSD-3,Python API for AMPL.,https://github.com/ampl/amplpy,2017-06-27 00:22:07,2024-01-05 12:49:42.000,2024-01-05 12:49:06,658,47.0,17.0,14.0,6.0,45.0,60,8.0,23,True,,amplpy,amplpy,https://amplpy.readthedocs.io/en/latest/,2023-12-29 18:19:14,0.13.1,,13135.0,13.0,57.0,57.0,https://pypi.org/project/amplpy,13135.0,https://anaconda.org/anaconda/amplpy,3.0,,,,,,True,,,,
18,PyPSA-Eur,steady-state,['python'],,PyPSA/pypsa-eur,https://pypsa.org,MIT,Optimisation Model of the European Transmission System.,https://github.com/PyPSA/pypsa-eur,2017-10-11 23:54:41,2024-01-18 17:26:03.000,2024-01-18 17:26:03,3696,380.0,172.0,15.0,516.0,231.0,254,60.0,22,True,131.0,,,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,2024-01-05 16:39:30,0.9.0,,0.0,13.0,,,,,,2.0,nimfetrisa/pypsa-eur,https://hub.docker.com/r/nimfetrisa/pypsa-eur,2022-04-11 21:54:31.539284,37.0,,,,,,
19,PowerSimulations.jl,steady-state,['julia'],,nrel-siip/powersimulations.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Optimization of Power Systems; Part of the SIIP at NREL.,https://github.com/NREL-Sienna/PowerSimulations.jl,2017-11-03 21:11:22,2024-01-16 20:56:57.000,2024-01-11 22:30:43,8335,128.0,48.0,18.0,749.0,256.0,247,34.0,22,True,28.0,,,https://nrel-siip.github.io/PowerSimulations.jl/latest/,2024-01-11 20:52:58,0.26.0,,,100.0,,,,,,2.0,,,,,,,,,,NREL-Sienna/PowerSimulations.jl
20,matpower,steady-state,,,MATPOWER/matpower,https://matpower.org/,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,2016-12-16 19:12:30,2023-12-23 00:43:36.000,2023-12-19 22:25:02,2383,36.0,144.0,29.0,41.0,147.0,362,15.0,20,True,31.0,matpower,,https://matpower.org/doc/,2020-10-08 23:57:49,7.1,433806.0,7168.0,4.0,,,https://pypi.org/project/matpower,160.0,,3.0,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2022-12-23 05:36:43.825145,1076.0,,,,,,
21,powerplantmatching,data,['python'],,PyPSA/powerplantmatching,https://pypsa.org,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,2016-08-15 16:36:25,2024-01-16 11:00:49.000,2024-01-16 10:57:06,857,18.0,47.0,19.0,69.0,54.0,131,22.0,20,True,20.0,powerplantmatching,powerplantmatching,https://atlite.readthedocs.io/en/master/?badge=master,2023-05-30 09:24:13,0.5.7,52.0,682.0,14.0,38.0,38.0,https://pypi.org/project/powerplantmatching,682.0,https://anaconda.org/anaconda/powerplantmatching,3.0,,,,,,,,,,
22,PowerModels.jl,steady-state,['julia'],,lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,BSD,Power Network Optimization.,https://github.com/lanl-ansi/PowerModels.jl,2016-08-01 20:30:54,2024-01-10 16:46:58.000,2024-01-10 15:16:08,975,16.0,133.0,26.0,430.0,386.0,356,29.0,19,True,86.0,,,https://lanl-ansi.github.io/PowerModels.jl/stable/,2024-01-10 16:44:06,0.20.1,,,74.0,,,,,,3.0,,,,,,,,,,
23,PYPOWER,steady-state,['python'],,rwl/PYPOWER,rwl.github.io/PYPOWER/api/,BSD,Port of MATPOWER to Python.,https://github.com/rwl/PYPOWER,2009-05-22 12:14:47,2023-07-06 21:40:30.000,2023-03-29 15:07:00,351,,103.0,25.0,44.0,11.0,294,20.0,19,True,27.0,PYPOWER,pypower,http://rwl.github.io/PYPOWER/index.html,2021-03-22 22:06:27,5.1.15,,1757.0,13.0,95.0,95.0,https://pypi.org/project/PYPOWER,1757.0,https://anaconda.org/anaconda/pypower,3.0,hwanghust/pypower,https://hub.docker.com/r/hwanghust/pypower,2019-05-19 07:28:05.197725,17.0,-2.0,,,,,
24,HELICS,cosimf,"['python', 'julia']",,GMLC-TDC/HELICS,https://helics.org/tools/,BSD-3,Framework to Integrate Simulators.,https://github.com/GMLC-TDC/HELICS,2017-06-01 17:03:19,2024-01-18 17:59:16.000,2024-01-02 18:05:54,3419,2.0,37.0,13.0,1925.0,554.0,106,38.0,19,True,78.0,helics,helics,,2023-01-20 21:48:22,3.4.0,19961.0,2100.0,54.0,,,https://pypi.org/project/helics,1819.0,https://anaconda.org/anaconda/helics,1.0,,,,,-3.0,,,,,
25,OpenDSSDirect.py,intf,['python'],,dss-extensions/OpenDSSDirect.py,https://dss-extensions.org/,MIT,A direct library interface to OpenDSS.,https://github.com/dss-extensions/OpenDSSDirect.py,2017-06-20 19:18:22,2023-12-15 04:07:03.000,2023-07-02 04:24:36,390,,20.0,13.0,31.0,82.0,73,3.0,19,True,15.0,OpenDSSDirect.py,opendssdirect.py,https://dss-extensions.org/OpenDSSDirect.py/,2023-06-28 03:33:01,0.8.4,,2035.0,17.0,43.0,43.0,https://pypi.org/project/OpenDSSDirect.py,2035.0,https://anaconda.org/anaconda/opendssdirect.py,1.0,,,,,5.0,,,,,
26,LightSim2Grid,steady-state,['python'],,BDonnot/lightsim2grid/,https://l2rpn.chalearn.org/,MPL-2.0,A fast backend for the Grid2Op.,https://github.com/BDonnot/lightsim2grid,2020-03-09 07:35:27,2024-01-10 13:13:43.000,2023-10-05 15:32:58,541,,9.0,3.0,31.0,26.0,42,,19,True,16.0,LightSim2Grid,,https://lightsim2grid.readthedocs.io/en/latest/,2023-10-16 10:24:01,0.7.5,101.0,2516.0,18.0,28.0,28.0,https://pypi.org/project/LightSim2Grid,2510.0,,3.0,bdonnot/lightsim2grid,https://hub.docker.com/r/bdonnot/lightsim2grid,2022-02-01 17:50:28.347059,187.0,,,,,,
27,GridPath,steady-state,['python'],,blue-marble/gridpath,https://www.gridpath.io/,Apache-2,Power system planning and operations.,https://github.com/blue-marble/gridpath,2016-08-12 18:13:28,2024-01-11 19:04:24.000,2023-12-14 17:16:37,1419,20.0,33.0,11.0,762.0,255.0,80,9.0,18,True,64.0,,,https://gridpath.readthedocs.io/en/latest/?badge=latest,2023-12-14 18:38:35,0.16.1,730.0,16.0,24.0,2.0,2.0,,,,3.0,,,,,,,,,,
28,LTB andes,dynamic,"['python', 'jupyter', 'ltb', 'curent']",,CURENT/andes,https://curent.github.io/,GPL-3,Transient Stability Simulator; Part of CURENT LTB.,https://github.com/CURENT/andes,2016-11-07 01:04:50,2023-12-14 02:53:12.000,2023-08-11 02:03:34,4406,,80.0,16.0,265.0,46.0,186,20.0,17,True,6.0,andes,andes,https://docs.andes.app/en/latest/,2022-03-27 17:07:13,1.6.2,,472.0,18.0,,,https://pypi.org/project/andes,471.0,https://anaconda.org/anaconda/andes,1.0,cuihantao/andes,https://hub.docker.com/r/cuihantao/andes,2020-12-10 15:50:41.614180,119.0,-4.0,,,,,
29,PowerSimulationsDynamics.jl,dynamic,['julia'],,NREL-SIIP/PowerSimulationsDynamics.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Dynamic Power System simulations; Part of the SIIP at NREL.,https://github.com/NREL-Sienna/PowerSimulationsDynamics.jl,2020-07-16 19:36:16,2024-01-08 22:42:02.000,2024-01-05 22:36:01,2394,9.0,31.0,13.0,218.0,87.0,146,13.0,16,True,41.0,,,https://nrel-siip.github.io/PowerSimulationsDynamics.jl/stable/,2024-01-05 22:53:57,0.13.0,,,38.0,,,,,,2.0,,,,,,,,,,NREL-Sienna/PowerSimulationsDynamics.jl
30,OpenIPSL,dynamic,,,OpenIPSL/OpenIPSL,https://github.com/OpenIPSL/OpenIPSL,BSD-3,A library of power system models written with Modelica.,https://github.com/OpenIPSL/OpenIPSL,2016-04-16 09:09:47,2024-01-16 07:04:48.000,2023-11-23 15:23:06,1770,3.0,47.0,19.0,226.0,99.0,65,32.0,16,True,13.0,,,https://doc.openipsl.org,2022-06-23 13:05:59,3.0.1,480.0,5.0,15.0,,,,,,2.0,,,,,-2.0,,,,,
31,Easy SimAuto,intf,['python'],,mzy2240/ESA,https://github.com/mzy2240/ESA,Apache-2.0,Python interface to PowerWorld.,https://github.com/mzy2240/ESA,2019-10-08 21:37:23,2023-06-05 21:16:13.000,2023-06-05 21:15:21,663,,9.0,5.0,15.0,83.0,39,11.0,16,True,16.0,esa,,https://mzy2240.github.io/ESA/html/index.html,2023-06-05 21:18:51,1.3.5,,1973.0,15.0,4.0,4.0,https://pypi.org/project/esa,1973.0,,2.0,,,,,,,,,,
32,EGRET,steady-state,['python'],,grid-parity-exchange/Egret,https://github.com/grid-parity-exchange/Egret,BSD,Tools for Power Systems Optimization Modeling.,https://github.com/grid-parity-exchange/Egret,2019-01-28 18:41:03,2024-01-09 17:41:31.000,2023-11-14 21:40:03,1061,3.0,45.0,13.0,233.0,38.0,112,38.0,15,True,44.0,,,,2023-04-03 23:11:48,0.5.5,,,6.0,5.0,5.0,,,,3.0,,,,,,,,,,
33,PyDSS,intf,['python'],,NREL/PyDSS,https://www.nrel.gov/grid/pydss.html,BSD-3,A Python wrapper for OpenDSS.,https://github.com/NREL/PyDSS,2018-10-16 15:59:07,2024-01-17 18:06:04.000,2024-01-08 17:44:14,835,11.0,16.0,9.0,105.0,12.0,30,24.0,15,True,17.0,pydss,,https://nrel.github.io/PyDSS/index.html,2023-11-22 20:26:16,3.0.0,,15.0,16.0,2.0,2.0,https://pypi.org/project/pydss,15.0,,2.0,,,,,,,,,,
34,py-dss-interface,intf,['python'],,PauloRadatz/py_dss_interface,https://github.com/PauloRadatz/py_dss_interface,MIT,A package for access to direct dll version of OpenDSS.,https://github.com/PauloRadatz/py_dss_interface,2020-06-12 18:58:36,2023-08-19 23:10:20.000,2023-08-19 23:10:17,528,,8.0,6.0,48.0,21.0,21,6.0,15,True,32.0,py-dss-interface,,https://py-dss-interface.readthedocs.io/en/latest/,2022-07-23 19:49:38,1.0.3,,292.0,1.0,24.0,24.0,https://pypi.org/project/py-dss-interface,292.0,,2.0,,,,,,,,,,
35,GasModels.jl,gasnet,['julia'],,lanl-ansi/GasModels.jl,https://github.com/lanl-ansi/GasModels.jl,BSD-3,Gas Network Optimization.,https://github.com/lanl-ansi/GasModels.jl,2016-08-29 16:01:10,2023-12-18 22:08:32.000,2023-12-18 22:08:32,1029,17.0,14.0,9.0,110.0,98.0,62,12.0,14,True,47.0,,,https://lanl-ansi.github.io/GasModels.jl/latest/,2022-07-25 23:24:15,0.9.2,,,19.0,,,,,,3.0,,,,,,,,,,
36,PyPSA-Eur-Sec,steady-state,['python'],,PyPSA/pypsa-eur-sec,https://pypsa.org,MIT,Sector-Coupled Optimisation Model of the European Energy System.,https://github.com/PyPSA/pypsa-eur-sec,2019-04-17 15:43:45,2023-06-25 18:14:35.000,2023-03-18 12:51:31,1055,,48.0,15.0,198.0,,82,22.0,13,True,,,,https://pypsa-eur-sec.readthedocs.io/en/latest/?badge=latest,2023-02-16 20:39:50,0.7.0,,,7.0,,,,,,3.0,,,,,-4.0,,,,,
37,PowerSystems,dynamic,,,modelica-3rdparty/PowerSystems,https://github.com/modelica-3rdparty/PowerSystems,https://modelica.org/licenses/ModelicaLicense2/,Modelica 3rd party library for electrical power systems.,https://github.com/modelica-3rdparty/PowerSystems,2013-04-19 08:46:45,2023-03-20 17:22:14.000,2023-03-20 17:17:24,189,,35.0,30.0,17.0,27.0,57,10.0,13,True,9.0,,,https://build.openmodelica.org/Documentation/PowerSystems.html,2023-03-20 16:24:10,1.0.1,,,6.0,,,,,,3.0,,,,,,,,,,
38,STEPS,dynamic,,,changgang/steps,https://github.com/changgang/steps,MIT,Balanced large-scale AC-DC hybrid power system analysis.,https://github.com/changgang/steps,2019-08-24 12:09:47,2024-01-08 15:09:54.000,2023-10-16 11:50:08,556,,14.0,4.0,,1.0,38,4.0,12,True,1.0,,,https://github.com/changgang/steps/wiki/,2023-10-16 12:20:36,2.0.0,16.0,0.0,5.0,5.0,5.0,,,,3.0,,,,,3.0,,,,,
39,PowerGraphics,vis,['julia'],,nrel-siip/powergraphics.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Visualization for PowerSimulations; Part of the SIIP at NREL.,https://github.com/NREL-Sienna/PowerGraphics.jl,2020-02-19 23:29:27,2023-10-03 18:32:27.000,2023-09-16 04:58:49,539,,9.0,9.0,77.0,20.0,23,9.0,12,True,14.0,,,https://nrel-siip.github.io/PowerSimulationsDynamics.jl/stable/,2023-09-16 05:24:50,0.16.0,,,37.0,,,,,,1.0,,,,,,,,,,NREL-Sienna/PowerGraphics.jl
40,DSSData,intf,['python'],,felipemarkson/dssdata,https://github.com/felipemarkson/dssdata,MIT,A micro-framework for simulation and data analysis of distribution systems modeled on OpenDSS.,https://github.com/felipemarkson/dssdata,2020-03-27 20:15:33,2023-04-10 13:02:09.000,2023-04-10 13:02:03,186,,3.0,3.0,64.0,31.0,13,2.0,10,True,5.0,dssdata,,https://felipemarkson.github.io/dssdata/,,,30.0,34.0,9.0,,,https://pypi.org/project/dssdata,34.0,,3.0,,,,,,,,,,
41,RLGC,mrl,"['python', 'jupyter']",,RLGC-Project/RLGC,https://github.com/RLGC-Project/RLGC,BSD,RL for Grid Control (RLGC).,https://github.com/RLGC-Project/RLGC,2018-12-03 19:07:39,2022-04-08 07:14:43.000,2022-04-08 07:12:43,90,,27.0,4.0,3.0,10.0,99,4.0,9,False,5.0,,,,2020-12-23 06:10:29,V1.0.0_RC,,,2.0,,,,,,3.0,,,,,,,,,,
42,LTB AGVis,vis,"['ltb', 'curent']",,CURENT/agvis,https://curent.github.io/,GPL-3.0,Geographical Visualization for Power Grid; Part of CURENT LTB.,https://github.com/CURENT/agvis,2019-08-30 19:15:27,2024-01-18 18:18:10.000,2023-09-13 18:30:17,488,,6.0,1.0,43.0,8.0,4,9.0,9,True,15.0,,,https://agvis.readthedocs.io/en/latest/,2023-08-03 15:12:50,3.2.1,9.0,0.0,2.0,,,,,,3.0,,,,,,,,,,
43,PowerSAS.m,dynamic,,,ANL-CEEESA/powersas.m,https://github.com/ANL-CEEESA/powersas.m,BSD-3,Power grid analysis framework based on semi-analytical solutions.,https://github.com/ANL-CEEESA/powersas.m,2021-12-10 21:25:47,2024-01-05 12:21:48.000,2024-01-05 12:21:48,75,5.0,4.0,,6.0,,13,4.0,8,True,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,
44,LTB DiME,msg,"['ltb', 'curent']",,CURENT/dime,https://curent.github.io/,GPL-3.0,Distributed Messaging Environment; Part of CURENT LTB.,https://github.com/CURENT/dime,2020-04-29 20:36:10,2023-07-31 21:24:25.000,2023-07-31 21:24:15,531,,4.0,5.0,11.0,35.0,3,4.0,8,True,13.0,,,https://ltbdime.readthedocs.io/en/latest/,,,,,,,,,,,1.0,,,,,3.0,,,,,
45,andes_gym,mrl,"['python', 'curent']",,cuihantao/andes_gym,https://github.com/cuihantao/andes_gym,GPL-3,ANDES RL Environment for OpenAI Gym.,https://github.com/cuihantao/andes_gym,2020-04-19 18:18:34,2022-01-28 19:53:49.000,2022-01-28 19:53:49,31,,4.0,3.0,1.0,,7,2.0,7,False,,andes,andes,,,,,471.0,,,,https://pypi.org/project/andes,471.0,https://anaconda.org/anaconda/andes,3.0,,,,,,,,,,
46,GSEIM,pe,['python'],,gseim/gseim,https://github.com/gseim/gseim,GPL-3.0,Interface Python to Ngspice and Xyce.,https://github.com/gseim/gseim,2021-06-08 11:11:31,2023-08-19 17:28:29.000,2023-08-19 17:26:55,52,,3.0,4.0,14.0,4.0,8,3.0,6,True,2.0,,,https://gseim.github.io/build/html/index.html,,,,,,,,,,,1.0,,,,,,,,,,
47,OpenHybridSim,dynamic,,,OpenHybridSim/OpenHybridSim-code,https://github.com/OpenHybridSim/OpenHybridSim-code,BSD-3,Power system EMT-TS hybrid simulation.,https://github.com/OpenHybridSim/OpenHybridSim-code,2015-01-17 03:59:14,2020-05-05 20:35:13.000,2020-05-05 20:35:12,16,,5.0,5.0,,,7,,6,False,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,
48,Large-scale Testbed (LTB),cosimps,"['python', 'ltb', 'curent']",,CURENT/ltb,https://curent.github.io/,GPL-3.0,CURENT Large-scale Testbed.,https://github.com/CURENT/ltb,2019-03-08 01:57:49,2023-04-29 21:15:34.000,2023-04-29 21:15:34,62,,2.0,2.0,7.0,4.0,3,4.0,4,True,1.0,,,https://ltb.readthedocs.io/en/latest/,,,,,,,,,,,1.0,,,,,,,,,,
49,EasySimauto.jl,intf,['julia'],,mzy2240/EasySimauto.jl,https://github.com/mzy2240/EasySimauto.jl,Apache-2.0,Julia interface for EasySimAuto and PowerWorld.,https://github.com/mzy2240/EasySimauto.jl,2022-09-16 15:59:20,2023-07-31 19:46:50.000,2023-07-31 19:46:46,15,,,1.0,,2.0,4,2.0,3,True,,,,,2022-09-27 15:08:27,0.1.0,,,1.0,,,,,,3.0,,,,,,,,,,
