,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,recent_commit_count,open_issue_count,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,new_addition,dockerhub_stars,conda_latest_release_published_at,conda_total_downloads,updated_github_id
23,PYPOWER,steady-state,['python'],,rwl/PYPOWER,rwl.github.io/PYPOWER/api/,BSD,Port of MATPOWER to Python.,https://github.com/rwl/PYPOWER,2009-05-22 12:14:47,2023-07-06 21:40:30.000000,2023-03-29 15:07:00,351,100.0,26.0,44.0,11.0,292,20.0,19,True,,27.0,PYPOWER,pypower,http://rwl.github.io/PYPOWER/index.html,2021-03-22 22:06:27,5.1.15,,2339.0,13.0,94.0,94.0,https://pypi.org/project/PYPOWER,2339.0,https://anaconda.org/anaconda/pypower,3.0,hwanghust/pypower,https://hub.docker.com/r/hwanghust/pypower,2019-05-19 07:28:05.197725,16.0,-2.0,,,,,
24,OpenDSSDirect.py,intf,['python'],,dss-extensions/OpenDSSDirect.py,https://dss-extensions.org/,MIT,A direct library interface to OpenDSS.,https://github.com/dss-extensions/OpenDSSDirect.py,2017-06-20 19:18:22,2023-12-15 04:07:03.000000,2023-07-02 04:24:36,390,20.0,13.0,31.0,82.0,73,3.0,19,True,,15.0,OpenDSSDirect.py,opendssdirect.py,https://dss-extensions.org/OpenDSSDirect.py/,2023-06-28 03:33:01,0.8.4,,3715.0,17.0,43.0,43.0,https://pypi.org/project/OpenDSSDirect.py,3715.0,https://anaconda.org/anaconda/opendssdirect.py,1.0,,,,,5.0,,,,,
25,LightSim2Grid,steady-state,['python'],,BDonnot/lightsim2grid/,https://l2rpn.chalearn.org/,MPL-2.0,A fast backend for the Grid2Op.,https://github.com/BDonnot/lightsim2grid,2020-03-09 07:35:27,2023-12-21 14:17:45.000000,2023-10-05 15:32:58,541,9.0,2.0,31.0,26.0,41,,19,True,20.0,16.0,LightSim2Grid,,https://lightsim2grid.readthedocs.io/en/latest/,2023-10-16 10:24:01,0.7.5,101.0,3146.0,18.0,27.0,27.0,https://pypi.org/project/LightSim2Grid,3141.0,,3.0,bdonnot/lightsim2grid,https://hub.docker.com/r/bdonnot/lightsim2grid,2022-02-01 17:50:28.347059,175.0,,,,,,
26,GridPath,steady-state,['python'],,blue-marble/gridpath,https://www.gridpath.io/,Apache-2,Power system planning and operations.,https://github.com/blue-marble/gridpath,2016-08-12 18:13:28,2023-12-15 15:23:26.000000,2023-12-14 17:16:37,1419,33.0,11.0,760.0,256.0,79,9.0,18,True,24.0,63.0,,,https://gridpath.readthedocs.io/en/latest/?badge=latest,2023-12-14 18:38:35,0.16.1,717.0,16.0,24.0,2.0,2.0,,,,3.0,,,,,,,,,,
27,LTB andes,dynamic,"['python', 'jupyter', 'ltb', 'curent']",,CURENT/andes,https://curent.github.io/,GPL-3,Transient Stability Simulator; Part of CURENT LTB.,https://github.com/CURENT/andes,2016-11-07 01:04:50,2023-12-14 02:53:12.000000,2023-08-11 02:03:34,4406,80.0,15.0,265.0,46.0,182,20.0,17,True,,6.0,andes,andes,https://docs.andes.app/en/latest/,2022-03-27 17:07:13,1.6.2,,609.0,18.0,,,https://pypi.org/project/andes,608.0,https://anaconda.org/anaconda/andes,1.0,cuihantao/andes,https://hub.docker.com/r/cuihantao/andes,2020-12-10 15:50:41.614180,111.0,-4.0,,,,,
28,PowerModels.jl,steady-state,['julia'],,lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,BSD,Power Network Optimization.,https://github.com/lanl-ansi/PowerModels.jl,2016-08-01 20:30:54,2023-12-18 22:15:43.000000,2023-12-18 22:11:50,961,132.0,26.0,426.0,379.0,355,28.0,16,True,2.0,92.0,,,https://lanl-ansi.github.io/PowerModels.jl/stable/,2023-05-28 00:57:08,0.19.9,,,71.0,,,,,,3.0,,,,,-2.0,,,,,
29,PowerSimulationsDynamics.jl,dynamic,['julia'],,NREL-SIIP/PowerSimulationsDynamics.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Dynamic Power System simulations; Part of the SIIP at NREL.,https://github.com/NREL-Sienna/PowerSimulationsDynamics.jl,2020-07-16 19:36:16,2023-12-15 23:00:33.000000,2023-12-12 01:25:43,2389,31.0,13.0,215.0,86.0,145,13.0,16,True,4.0,41.0,,,https://nrel-siip.github.io/PowerSimulationsDynamics.jl/stable/,2023-10-25 20:25:23,0.12.3,,,37.0,,,,,,2.0,,,,,,,,,,NREL-Sienna/PowerSimulationsDynamics.jl
30,OpenIPSL,dynamic,,,OpenIPSL/OpenIPSL,https://github.com/OpenIPSL/OpenIPSL,BSD-3,A library of power system models written with Modelica.,https://github.com/OpenIPSL/OpenIPSL,2016-04-16 09:09:47,2023-12-21 17:46:11.000000,2023-11-23 15:23:06,1770,46.0,19.0,224.0,99.0,64,32.0,16,True,5.0,13.0,,,https://doc.openipsl.org,2022-06-23 13:05:59,3.0.1,480.0,5.0,15.0,,,,,,2.0,,,,,,,,,,
31,Easy SimAuto,intf,['python'],,mzy2240/ESA,https://github.com/mzy2240/ESA,Apache-2.0,Python interface to PowerWorld.,https://github.com/mzy2240/ESA,2019-10-08 21:37:23,2023-06-05 21:16:13.000000,2023-06-05 21:15:21,663,9.0,5.0,15.0,83.0,38,11.0,16,True,,16.0,esa,,https://mzy2240.github.io/ESA/html/index.html,2023-06-05 21:18:51,1.3.5,,1651.0,15.0,4.0,4.0,https://pypi.org/project/esa,1651.0,,2.0,,,,,,,,,,
32,EGRET,steady-state,['python'],,grid-parity-exchange/Egret,https://github.com/grid-parity-exchange/Egret,BSD,Tools for Power Systems Optimization Modeling.,https://github.com/grid-parity-exchange/Egret,2019-01-28 18:41:03,2023-11-14 21:40:04.000000,2023-11-14 21:40:03,1061,45.0,14.0,232.0,38.0,111,38.0,15,True,3.0,44.0,,,,2023-04-03 23:11:48,0.5.5,,,6.0,5.0,5.0,,,,3.0,,,,,,,,,,
33,PyDSS,intf,['python'],,NREL/PyDSS,https://www.nrel.gov/grid/pydss.html,BSD-3,A Python wrapper for OpenDSS.,https://github.com/NREL/PyDSS,2018-10-16 15:59:07,2023-12-20 20:43:22.000000,2023-11-22 20:24:48,818,16.0,8.0,104.0,12.0,30,24.0,15,True,5.0,17.0,pydss,,https://nrel.github.io/PyDSS/index.html,2023-11-22 20:26:16,3.0.0,,37.0,16.0,2.0,2.0,https://pypi.org/project/pydss,37.0,,2.0,,,,,,,,,,
34,py-dss-interface,intf,['python'],,PauloRadatz/py_dss_interface,https://github.com/PauloRadatz/py_dss_interface,MIT,A package for access to direct dll version of OpenDSS.,https://github.com/PauloRadatz/py_dss_interface,2020-06-12 18:58:36,2023-08-19 23:10:20.000000,2023-08-19 23:10:17,528,8.0,6.0,48.0,21.0,21,6.0,15,True,,32.0,py-dss-interface,,https://py-dss-interface.readthedocs.io/en/latest/,2022-07-23 19:49:38,1.0.3,,383.0,1.0,24.0,24.0,https://pypi.org/project/py-dss-interface,383.0,,2.0,,,,,,,,,,
35,GasModels.jl,gasnet,['julia'],,lanl-ansi/GasModels.jl,https://github.com/lanl-ansi/GasModels.jl,BSD-3,Gas Network Optimization.,https://github.com/lanl-ansi/GasModels.jl,2016-08-29 16:01:10,2023-12-18 22:08:32.000000,2023-12-18 22:08:32,1029,14.0,9.0,110.0,98.0,62,12.0,14,True,17.0,47.0,,,https://lanl-ansi.github.io/GasModels.jl/latest/,2022-07-25 23:24:15,0.9.2,,,19.0,,,,,,3.0,,,,,,,,,,
36,PyPSA-Eur-Sec,steady-state,['python'],,PyPSA/pypsa-eur-sec,https://pypsa.org,MIT,Sector-Coupled Optimisation Model of the European Energy System.,https://github.com/PyPSA/pypsa-eur-sec,2019-04-17 15:43:45,2023-06-25 18:14:35.000000,2023-03-18 12:51:31,1055,48.0,15.0,198.0,,82,22.0,13,True,,,,,https://pypsa-eur-sec.readthedocs.io/en/latest/?badge=latest,2023-02-16 20:39:50,0.7.0,,,7.0,,,,,,3.0,,,,,-4.0,,,,,
37,PowerSystems,dynamic,,,modelica-3rdparty/PowerSystems,https://github.com/modelica-3rdparty/PowerSystems,https://modelica.org/licenses/ModelicaLicense2/,Modelica 3rd party library for electrical power systems.,https://github.com/modelica-3rdparty/PowerSystems,2013-04-19 08:46:45,2023-03-20 17:22:14.000000,2023-03-20 17:17:24,189,34.0,29.0,17.0,27.0,57,10.0,13,True,,9.0,,,https://build.openmodelica.org/Documentation/PowerSystems.html,2023-03-20 16:24:10,1.0.1,,,6.0,,,,,,3.0,,,,,,,,,,
38,PowerGraphics,vis,['julia'],,nrel-siip/powergraphics.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Visualization for PowerSimulations; Part of the SIIP at NREL.,https://github.com/NREL-Sienna/PowerGraphics.jl,2020-02-19 23:29:27,2023-10-03 18:32:27.000000,2023-09-16 04:58:49,539,9.0,9.0,77.0,20.0,22,9.0,13,True,,14.0,,,https://nrel-siip.github.io/PowerSimulationsDynamics.jl/stable/,2023-09-16 05:24:50,0.16.0,,,37.0,,,,,,1.0,,,,,,,,,,NREL-Sienna/PowerGraphics.jl
39,STEPS,dynamic,,,changgang/steps,https://github.com/changgang/steps,MIT,Balanced large-scale AC-DC hybrid power system analysis.,https://github.com/changgang/steps,2019-08-24 12:09:47,2023-11-21 17:06:11.000000,2023-10-16 11:50:08,556,14.0,4.0,,1.0,38,4.0,12,True,9.0,1.0,,,https://github.com/changgang/steps/wiki/,2023-10-16 12:20:36,2.0.0,16.0,0.0,5.0,5.0,5.0,,,,3.0,,,,,3.0,,,,,
40,DSSData,intf,['python'],,felipemarkson/dssdata,https://github.com/felipemarkson/dssdata,MIT,A micro-framework for simulation and data analysis of distribution systems modeled on OpenDSS.,https://github.com/felipemarkson/dssdata,2020-03-27 20:15:33,2023-04-10 13:02:09.000000,2023-04-10 13:02:03,186,3.0,3.0,64.0,31.0,13,2.0,10,True,,5.0,dssdata,,https://felipemarkson.github.io/dssdata/,,,30.0,28.0,9.0,,,https://pypi.org/project/dssdata,28.0,,3.0,,,,,,,,,,
41,RLGC,mrl,"['python', 'jupyter']",,RLGC-Project/RLGC,https://github.com/RLGC-Project/RLGC,BSD,RL for Grid Control (RLGC).,https://github.com/RLGC-Project/RLGC,2018-12-03 19:07:39,2022-04-08 07:14:43.000000,2022-04-08 07:12:43,90,27.0,4.0,3.0,10.0,95,4.0,9,False,,5.0,,,,2020-12-23 06:10:29,V1.0.0_RC,,,2.0,,,,,,3.0,,,,,,,,,,
42,LTB AGVis,vis,"['ltb', 'curent']",,CURENT/agvis,https://curent.github.io/,GPL-3.0,Geographical Visualization for Power Grid; Part of CURENT LTB.,https://github.com/CURENT/agvis,2019-08-30 19:15:27,2023-12-15 21:53:37.000000,2023-09-13 18:30:17,488,6.0,1.0,41.0,8.0,4,9.0,9,True,,14.0,,,https://agvis.readthedocs.io/en/latest/,2023-08-03 15:12:50,3.2.1,9.0,0.0,2.0,,,,,,3.0,,,,,,,,,,
43,PowerSAS.m,dynamic,,,ANL-CEEESA/powersas.m,https://github.com/ANL-CEEESA/powersas.m,BSD-3,Power grid analysis framework based on semi-analytical solutions.,https://github.com/ANL-CEEESA/powersas.m,2021-12-10 21:25:47,2023-11-26 22:52:25.000000,2023-11-26 22:52:25,74,4.0,,6.0,,13,3.0,8,True,4.0,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,
44,LTB DiME,msg,"['ltb', 'curent']",,CURENT/dime,https://curent.github.io/,GPL-3.0,Distributed Messaging Environment; Part of CURENT LTB.,https://github.com/CURENT/dime,2020-04-29 20:36:10,2023-07-31 21:24:25.000000,2023-07-31 21:24:15,531,4.0,5.0,11.0,35.0,3,4.0,8,True,,13.0,,,https://ltbdime.readthedocs.io/en/latest/,,,,,,,,,,,1.0,,,,,3.0,,,,,
45,andes_gym,mrl,"['python', 'curent']",,cuihantao/andes_gym,https://github.com/cuihantao/andes_gym,GPL-3,ANDES RL Environment for OpenAI Gym.,https://github.com/cuihantao/andes_gym,2020-04-19 18:18:34,2022-01-28 19:53:49.000000,2022-01-28 19:53:49,31,4.0,3.0,1.0,,7,2.0,7,False,,,andes,andes,,,,,608.0,,,,https://pypi.org/project/andes,608.0,https://anaconda.org/anaconda/andes,3.0,,,,,,,,,,
46,OpenHybridSim,dynamic,,,OpenHybridSim/OpenHybridSim-code,https://github.com/OpenHybridSim/OpenHybridSim-code,BSD-3,Power system EMT-TS hybrid simulation.,https://github.com/OpenHybridSim/OpenHybridSim-code,2015-01-17 03:59:14,2020-05-05 20:35:13.000000,2020-05-05 20:35:12,16,5.0,5.0,,,7,,6,False,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,
47,GSEIM,pe,['python'],,gseim/gseim,https://github.com/gseim/gseim,GPL-3.0,Interface Python to Ngspice and Xyce.,https://github.com/gseim/gseim,2021-06-08 11:11:31,2023-08-19 17:28:29.000000,2023-08-19 17:26:55,52,3.0,3.0,14.0,4.0,7,3.0,6,True,,2.0,,,https://gseim.github.io/build/html/index.html,,,,,,,,,,,1.0,,,,,,,,,,
48,Large-scale Testbed (LTB),cosimps,"['python', 'ltb', 'curent']",,CURENT/ltb,https://curent.github.io/,GPL-3.0,CURENT Large-scale Testbed.,https://github.com/CURENT/ltb,2019-03-08 01:57:49,2023-04-29 21:15:34.000000,2023-04-29 21:15:34,62,2.0,2.0,7.0,4.0,3,4.0,4,True,,1.0,,,https://ltb.readthedocs.io/en/latest/,,,,,,,,,,,1.0,,,,,,,,,,
49,EasySimauto.jl,intf,['julia'],,mzy2240/EasySimauto.jl,https://github.com/mzy2240/EasySimauto.jl,Apache-2.0,Julia interface for EasySimAuto and PowerWorld.,https://github.com/mzy2240/EasySimauto.jl,2022-09-16 15:59:20,2023-07-31 19:46:50.000000,2023-07-31 19:46:46,15,,1.0,,2.0,4,2.0,3,True,,,,,,2022-09-27 15:08:27,0.1.0,,,1.0,,,,,,3.0,,,,,,,,,,
