,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars,updated_github_id,gitlab_id,gitlab_url
10,pmuBAGE,data,['university'],True,NanpengYu/pmuBAGE,,Synthetic phasor measurement unit dataset.,https://github.com/NanpengYu/pmuBAGE,https://github.com/NanpengYu/pmuBAGE,2022-03-18 05:10:00,2022-04-07 00:15:41.000000,2022-04-07 00:15:41,18.0,2.0,1.0,9.0,2.0,0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PowerCyber Training,book,"['jupyter', 'gha', 'python', 'university']",True,PowerCyberTraining/powercybertraining.github.io,CC BY-NC-ND 4.0,PowerCyber Training modules source.,https://github.com/PowerCyberTraining/powercybertraining.github.io,https://powercybertraining.github.io,2024-02-16 22:06:15,2025-09-20 01:55:53.000000,2025-09-20 01:55:43,287.0,5.0,,11.0,8.0,0,True,,1.0,23.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TextbookSimulations,book,"['julia', 'jupyter', 'university']",True,Power-Systems-Textbook/TextbookSimulations,CC0-1.0,Examples and problems accompanying Daniel Kirschens Power Systems Textbook.,https://github.com/Power-Systems-Textbook/TextbookSimulations,https://github.com/Power-Systems-Textbook/TextbookSimulations,2022-10-12 19:10:15,2023-11-08 22:54:41.000000,2023-11-08 22:54:34,56.0,3.0,,12.0,2.0,0,True,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,UTK ECE 522 - Power System Analysis II,book,"['python', 'jupyter', 'university']",True,CURENT/ece522,MIT,Hands-on Project for Power System Analysis II (UTK ECE 522).,https://github.com/CURENT/ece522,https://github.com/CURENT/ece522,2023-01-18 03:35:44,2025-11-12 23:01:36.000000,2025-11-12 23:01:36,15.0,2.0,,6.0,4.0,0,True,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ELEC0447 Analysis of Electric Power and Energy Systems,book,"['python', 'jupyter', 'university']",True,bcornelusse/ELEC0447-analysis-power-systems,BSD-2.0,Masters course of power systems analysis at ULige.,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,2020-06-17 14:45:34,2025-12-08 12:26:50.000000,2025-12-08 12:26:50,335.0,11.0,1.0,23.0,6.0,0,True,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Tutorial on DER Hosting Capacity Part 0,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,BSD-3.0,Using dss_python.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,2022-11-30 04:16:00,2024-12-09 04:10:44.000000,2024-12-09 04:10:38,45.0,4.0,,6.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Tutorial on DER Hosting Capacity Part 1,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,BSD-3.0,Advanced Tools for the Analysis of Three-Phase Unbalanced LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,2023-03-09 03:28:07,2026-04-28 01:23:17.000000,2026-04-28 01:23:16,34.0,3.0,,5.0,6.0,0,True,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
17,Tutorial on DER Hosting Capacity Part 2,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,BSD-3.0,Time-Series Analysis and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,2022-12-01 03:15:41,2026-04-28 01:29:29.000000,2026-04-28 01:29:29,41.0,1.0,,2.0,6.0,0,True,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
18,Tutorial on DER Hosting Capacity Part 3,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,BSD-3.0,Volt-Watt Control and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,2023-05-29 06:17:07,2026-04-28 01:30:12.000000,2026-04-28 01:30:11,20.0,,,1.0,5.0,0,True,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
19,Tutorial on DER Hosting Capacity Part 4,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,BSD-3.0,Monte Carlo Assessment of PV Hosting Capacity of an Integrated MV-LV Network.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,2023-05-29 23:51:23,2024-12-09 03:42:30.000000,2024-12-09 03:42:26,27.0,2.0,,2.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,LTB Demo,book,"['jupyter', 'python', 'university']",True,CURENT/demo,MIT,Ready-to-use LTB usage examples.,https://github.com/CURENT/demo,https://ltb.curent.org,2023-03-28 15:37:01,2025-11-10 14:41:32.000000,2025-11-10 14:40:05,220.0,1.0,,4.0,4.0,0,True,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,CVXPY,opl,"['gha', 'pypi', 'conda', 'python', 'university']",,cvxpy/cvxpy,Apache-2,Convex optimization modeling language.,https://github.com/cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,2013-07-01 23:48:58,2026-05-28 19:34:38.000000,2026-05-28 15:32:18,3930.0,1178.0,181.0,6221.0,257.0,41,True,http://www.cvxpy.org/,126.0,1551.0,1464.0,2026-05-26 22:05:15.000,1.9.1,149.0,90.0,cvxpy,conda-forge/cvxpy,790.0,3977694.0,20005.0,19001.0,https://pypi.org/project/cvxpy,2026-05-26 22:05:15.000,1004.0,3948130.0,https://anaconda.org/conda-forge/cvxpy,2026-05-27 20:54:40.749,2098336.0,1.0,,,,,,,,,
22,Pyomo,opl,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'lab']",,Pyomo/pyomo,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,https://www.pyomo.org,2016-05-27 19:33:45,2026-05-28 17:43:55.000000,2026-05-28 17:43:55,31121.0,566.0,334.0,2463.0,201.0,41,True,https://pyomo.readthedocs.io/en/stable/,54.0,2435.0,1193.0,2026-02-20 21:39:09.000,6.10.0,70.0,870.0,Pyomo,conda-forge/pyomo,5742.0,1317672.0,5081.0,4798.0,https://pypi.org/project/Pyomo,2025-02-21 15:30:59.000,283.0,1286290.0,https://anaconda.org/conda-forge/pyomo,2026-02-20 23:56:19.978,2220179.0,1.0,,,,,,,,,
23,OR-Tools,ops,"['gha', 'pypi', 'conda', 'python', 'cpp', 'java', 'for-profit']",,google/or-tools,Apache-2,Google Optimization Tools.,https://github.com/google/or-tools,https://developers.google.com/optimization/,2015-02-21 01:25:35,2026-05-28 09:43:39.000000,2026-03-31 07:58:46,15817.0,2398.0,102.0,13535.0,201.0,39,True,https://developers.google.com/optimization/introduction,309.0,803.0,3127.0,2026-01-14 15:37:43.000,9.15.6755,83.0,8.0,ortools,conda-forge/ortools-python,379612.0,4951896.0,759.0,370.0,https://pypi.org/project/ortools,2026-01-14 15:37:43.000,389.0,4946120.0,https://anaconda.org/conda-forge/ortools-python,2025-04-22 14:58:03.564,154625.0,1.0,,,,,,,,,
24,Xopt,ops,"['gha', 'python', 'pypi', 'conda', 'lab']",,google/or-tools,MPL-2.0,Flexible high-level optimization in Python.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2026-05-28 09:43:39.000000,2026-03-31 07:58:46,15817.0,2398.0,102.0,13535.0,201.0,35,True,https://xopt.xopt.org/index.html,309.0,803.0,3127.0,2026-04-28 13:51:38.000,3.0.1,53.0,8.0,xopt,conda-forge/xopt,379583.0,5900.0,379.0,370.0,https://pypi.org/project/xopt,2026-04-28 13:51:38.000,9.0,1597.0,https://anaconda.org/conda-forge/xopt,2026-05-22 16:48:33.073,81661.0,1.0,,,,,,,,,
25,HiGHS,ops,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'c', 'julia', 'rust', 'r', 'cpp', 'university']",,ERGO-Code/HiGHS,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,https://highs.dev/,2018-03-27 13:57:58,2026-05-28 12:20:49.000000,2026-04-08 20:46:58,14428.0,309.0,159.0,1640.0,115.0,35,True,https://ergo-code.github.io/HiGHS/,32.0,1728.0,953.0,2026-04-06 15:51:33.000,1.14.0,23.0,308.0,highspy,conda-forge/highs,46376.0,2467956.0,172.0,,https://pypi.org/project/highspy,2026-04-06 15:51:33.000,172.0,2464999.0,https://anaconda.org/conda-forge/highs,2026-04-06 18:12:02.065,70816.0,1.0,,,,,,,,,
26,pandapower,steady-state,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'university']",,e2nIEE/pandapower,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,https://www.pandapower.org/,2017-01-12 13:27:53,2026-05-28 10:25:28.000000,2026-05-28 09:42:58,10754.0,560.0,157.0,1185.0,188.0,35,True,https://pandapower.readthedocs.io/en/latest/,49.0,1726.0,985.0,2026-03-13 14:51:16.000,3.3.3,60.0,57.0,pandapower,conda-forge/pandapower,,249439.0,641.0,561.0,https://pypi.org/project/pandapower,2026-03-13 14:51:16.000,80.0,248839.0,https://anaconda.org/conda-forge/pandapower,2025-10-27 08:12:12.961,41337.0,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,193.0,,,,,
27,Tulip,ops,"['gha', 'julia', 'university']",,google/or-tools,MPL-2.0,Interior-point solver in pure Julia.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2026-05-28 09:43:39.000000,2026-03-31 07:58:46,15817.0,2398.0,102.0,13535.0,201.0,34,True,https://ds4dm.github.io/Tulip.jl/stable/,309.0,803.0,3127.0,2026-01-12 15:38:30.000,9.15,52.0,8.0,,,379583.0,2965.0,370.0,370.0,,,,,,,,2.0,,,,,,,,,
28,PyPSA,steady-state,"['gha', 'pypi', 'conda', 'python', 'jupyter', 'university']",,PyPSA/PyPSA,MIT,Python for Power System Analysis.,https://github.com/PyPSA/PyPSA,https://pypsa.org,2016-01-11 09:04:18,2026-05-25 21:32:56.000000,2026-05-25 20:02:27,3278.0,646.0,145.0,2003.0,117.0,32,True,https://pypsa.readthedocs.io/en/latest/,68.0,1119.0,432.0,2026-05-25 21:32:56.000,1.2.2,88.0,50.0,pypsa,conda-forge/pypsa,,49902.0,378.0,327.0,https://pypi.org/project/pypsa,2026-05-25 21:32:56.000,51.0,46576.0,https://anaconda.org/conda-forge/pypsa,2026-05-19 12:23:14.399,232857.0,1.0,,,,,,,,,
29,Power Grid Model,steady-state,"['gha', 'pypi', 'conda', 'python', 'c', 'jupyter', 'non-profit']",,PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2026-05-28 14:59:01.000000,2026-05-28 12:57:50,10716.0,64.0,113.0,226.0,150.0,32,True,https://power-grid-model.readthedocs.io/en/stable/,5.0,1091.0,204.0,2026-05-28 14:55:02.000,1.13.80,877.0,497.0,power-grid-model,conda-forge/power-grid-model,1415.0,227896.0,54.0,39.0,https://pypi.org/project/power-grid-model,2026-05-28 14:55:02.000,15.0,93242.0,https://anaconda.org/conda-forge/power-grid-model,2026-05-28 07:24:15.833,4834852.0,1.0,,,,,1.0,,,,
30,OSQP,ops,"['gha', 'pypi', 'conda', 'python', 'c', 'julia', 'octave', 'r', 'university']",,osqp/osqp,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,https://osqp.org,2016-09-27 03:02:46,2026-02-16 09:24:41.901000,2025-11-10 12:54:10,2982.0,408.0,124.0,2138.0,36.0,31,True,https://osqp.org/docs/get_started/,40.0,313.0,278.0,2026-01-26 21:12:22.000,1.1.0,46.0,,osqp,conda-forge/osqp,209565.0,4105054.0,150.0,,https://pypi.org/project/osqp,2026-02-11 18:07:14.000,150.0,4079798.0,https://anaconda.org/conda-forge/osqp,2026-02-16 09:24:41.901,1493433.0,2.0,,,,,,,,,
31,PySCIPOpt,ops,"['gha', 'pypi', 'conda', 'python', 'lab']",,scipopt/PySCIPOpt,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,https://www.scipopt.org/,2016-05-19 14:29:21,2026-05-22 19:16:20.000000,2026-05-22 19:16:20,2279.0,279.0,21.0,978.0,89.0,31,True,https://scipopt.github.io/PySCIPOpt/docs/html/,24.0,569.0,625.0,2026-05-16 15:04:26.000,6.2.1,77.0,27.0,PySCIPOpt,conda-forge/pyscipopt,,301595.0,561.0,449.0,https://pypi.org/project/PySCIPOpt,2026-05-16 15:04:26.000,112.0,289899.0,https://anaconda.org/conda-forge/pyscipopt,2026-05-16 16:07:18.685,736887.0,2.0,,,,,,,,,
32,SCS,ops,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'r', 'c', 'university']",,cvxgrp/scs,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,https://github.com/cvxgrp/scs,2013-11-29 23:11:16,2026-05-12 07:34:49.639000,2026-04-30 22:41:03,1406.0,141.0,43.0,622.0,32.0,31,True,https://www.cvxgrp.org/scs/,28.0,200.0,150.0,2026-01-09 17:52:41.000,3.2.11,48.0,105.0,scs,conda-forge/scs,,3204325.0,72.0,,https://pypi.org/project/scs,2026-01-09 17:52:41.000,72.0,3178025.0,https://anaconda.org/conda-forge/scs,2026-05-12 07:34:49.639,1735807.0,2.0,,,,,,,,,
33,OpenModelica,cosime,"['gha', 'modelica', 'python', 'university']",,OpenModelica/OpenModelica,Modelica License 2,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,https://openmodelica.org,2015-05-03 16:59:29,2026-05-28 20:40:30.000000,2026-05-28 20:38:16,38449.0,371.0,2213.0,1321.0,206.0,29,True,https://openmodelica.org/doc/OpenModelicaUsersGuide/latest/,52.0,6401.0,6641.0,2026-05-02 18:05:12.000,1.26.7,46.0,383.0,,,1045.0,539.0,,,,,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2026-05-03 13:06:40.907411,70190.0,,6.0,,,
34,precice,cosime,"['gha', 'c', 'pypi', 'conda', 'university']",,precice/precice,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,https://precice.org/,2015-05-22 14:05:22,2026-05-28 15:49:40.000000,2026-05-20 10:29:48,5683.0,282.0,243.0,933.0,76.0,27,True,https://precice.org/docs.html,36.0,1587.0,759.0,2026-04-21 07:34:40.000,3.4.1,37.0,65.0,pyprecice,conda-forge/pyprecice,44817.0,6054.0,10.0,,https://pypi.org/project/pyprecice,2026-04-08 10:30:39.000,10.0,2184.0,https://anaconda.org/conda-forge/pyprecice,2026-04-08 15:17:41.110,168138.0,3.0,precice/precice,https://hub.docker.com/r/precice/precice,2026-05-28 06:46:51.610765,42075.0,,,,,
35,Ipopt,ops,"['pypi', 'conda', 'python', 'non-profit']",,coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,https://www.coin-or.org/,2019-01-28 12:24:22,2026-05-25 15:59:08.000000,2026-05-25 14:32:49,2433.0,315.0,14.0,1754.0,38.0,26,True,https://coin-or.github.io/Ipopt/,45.0,46.0,615.0,2025-07-30 10:34:09.000,releases/3.14.19,33.0,3.0,ipopt,conda-forge/ipopt,32882.0,38765.0,10.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,2161.0,https://anaconda.org/conda-forge/ipopt,2026-02-17 01:36:21.548,2422333.0,2.0,,,,,1.0,,,,
36,CVXOPT,ops,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'university']",,cvxopt/cvxopt,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,https://cvxopt.org/,2013-02-22 22:14:31,2026-03-13 14:50:05.929000,2026-03-02 19:44:15,64.0,214.0,43.0,1034.0,10.0,26,True,http://cvxopt.org/userguide/,37.0,76.0,155.0,2026-02-10 00:08:27.000,1.3.3,18.0,1.0,cvxopt,conda-forge/cvxopt,,29245.0,15279.0,14798.0,https://pypi.org/project/cvxopt,2026-02-09 23:59:58.000,481.0,,https://anaconda.org/conda-forge/cvxopt,2026-03-13 14:50:05.929,1959448.0,2.0,,,,,-2.0,,,,
37,Grid2Op,mrl,"['gha', 'pypi', 'jupyter', 'python', 'for-profit']",,rte-france/Grid2Op,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/Grid2op/grid2op,https://l2rpn.chalearn.org/,2019-10-10 17:04:46,2026-05-28 18:05:20.000000,2026-04-28 08:22:24,3571.0,144.0,52.0,433.0,32.0,26,True,https://grid2op.readthedocs.io/en/latest/,20.0,344.0,345.0,2026-04-28 09:47:53.000,1.12.4,92.0,44.0,Grid2Op,,,4030.0,23.0,,https://pypi.org/project/Grid2Op,2025-07-24 18:24:04.000,23.0,3893.0,,,,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,10831.0,,1.0,Grid2op/grid2op,,
38,GridStatus,data,"['gha', 'pypi', 'conda', 'python', 'for-profit']",,kmax12/gridstatus,BSD-3,Extract data from ISOs and other sources.,https://github.com/gridstatus/gridstatus,https://www.gridstatus.io,2022-07-28 19:24:20,2026-05-22 21:51:58.000000,2026-05-22 21:51:55,849.0,75.0,45.0,414.0,44.0,26,True,https://docs.gridstatus.io/en/latest/,9.0,747.0,90.0,2026-04-21 02:05:40.000,0.36.0,38.0,73.0,gridstatus,services/gridstatus,,97650.0,30.0,28.0,https://pypi.org/project/gridstatus,2026-04-21 02:05:40.000,2.0,97649.0,https://anaconda.org/services/gridstatus,2025-03-25 16:20:32.129,44.0,1.0,,,,,,,gridstatus/gridstatus,,
39,pandapipes,gasnet,"['gha', 'pypi', 'jupyter', 'python', 'university']",,e2nIEE/pandapipes,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,https://www.pandapipes.org/,2020-02-03 15:04:57,2026-05-26 21:41:52.000000,2026-05-26 21:41:52,2297.0,83.0,95.0,220.0,29.0,26,True,https://jkpandapipes.readthedocs.io/en/latest/,9.0,593.0,89.0,2026-05-26 21:10:12.000,0.14.0,25.0,20.0,pandapipes,,,9330.0,58.0,42.0,https://pypi.org/project/pandapipes,2026-05-26 21:10:12.000,16.0,9330.0,,,,1.0,,,,,1.0,,,,
40,JuMP,opl,"['gha', 'jupyter', 'julia', 'non-profit']",,jump-dev/JuMP.jl,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,https://jump.dev,2012-10-10 00:34:45,2026-05-26 22:46:58.000000,2026-05-26 21:58:54,5175.0,414.0,17.0,2442.0,172.0,25,True,https://jump.dev/JuMP.jl/stable/,81.0,2564.0,1520.0,2026-04-26 22:53:25.000,1.30.1,92.0,30.0,,,,,,,,,,,,,,2.0,,,,,,,,,
41,CBC,ops,"['gha', 'conda', 'python', 'julia', 'c', 'non-profit']",,coin-or/Cbc,EPL-2.0,COIN-OR Branch-and-Cut solver.,https://github.com/coin-or/Cbc,https://www.coin-or.org/,2019-03-02 23:20:41,2026-05-27 14:40:19.000000,2026-05-27 14:40:06,2739.0,137.0,162.0,993.0,35.0,25,True,https://coin-or.github.io/Cbc/Doxygen/,40.0,95.0,394.0,2026-03-11 23:59:18.000,releases/2.10.13,15.0,172.0,,conda-forge/coincbc,340473.0,28243.0,,,,,,,https://anaconda.org/conda-forge/coincbc,2026-05-12 11:46:24.208,1620743.0,3.0,,,,,,,,,
42,Clp,ops,"['gha', 'conda', 'python', 'julia', 'c', 'non-profit']",,coin-or/Cbc,EPL-2.0,COIN-OR Linear Programming Solver.,https://github.com/coin-or/Cbc,https://www.coin-or.org/,2019-03-02 23:20:41,2026-05-27 14:40:19.000000,2026-05-27 14:40:06,2739.0,137.0,162.0,993.0,35.0,25,True,https://coin-or.github.io/Clp/,40.0,95.0,394.0,2026-03-11 23:59:18.000,releases/2.10.13,12.0,172.0,,conda-forge/coin-or-clp,340473.0,26616.0,,,,,,,https://anaconda.org/conda-forge/coin-or-clp,2026-05-11 18:43:15.435,1534323.0,3.0,,,,,,,,,
43,VeraGrid,steady-state,"['gha', 'pypi', 'python', 'for-profit']",,SanPen/VeraGrid,MPL-2.0,"Cross-platform power systems software, power flows, investments analysis, optimization and plenty of other stuff.",https://github.com/SanPen/VeraGrid,https://www.eroots.tech/software,2016-01-13 15:40:10,2026-05-28 15:11:56.000000,2026-05-28 15:11:52,16160.0,127.0,16.0,548.0,59.0,25,True,https://veragrid.readthedocs.io/en/latest/?badge=latest,35.0,159.0,286.0,2026-04-21 14:12:01.000,6.0.0,29.0,33.0,veragrid,,59.0,2975.0,,,https://pypi.org/project/veragrid,2025-08-27 07:46:25.000,,2975.0,,,,1.0,,,,,,,,,
