,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id,trending
13,UTK ECE 522 - Power System Analysis II,book,"['python', 'jupyter', 'university']",True,CURENT/ece522,MIT,Hands-on Project for Power System Analysis II (UTK ECE 522).,https://github.com/CURENT/ece522,https://github.com/CURENT/ece522,2023-01-18 03:35:44,2025-11-12 23:01:36.000000,2025-11-12 23:01:36,15.0,2.0,,6.0,4.0,0,True,,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14,ELEC0447 Analysis of Electric Power and Energy Systems,book,"['python', 'jupyter', 'university']",True,bcornelusse/ELEC0447-analysis-power-systems,BSD-2.0,Masters course of power systems analysis at ULige.,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,2020-06-17 14:45:34,2025-12-08 12:26:50.000000,2025-12-08 12:26:50,335.0,7.0,1.0,24.0,6.0,0,True,,2.0,1.0,,,,,35.0,,,,,,,,,,,,,,,,,,,,,
15,Tutorial on DER Hosting Capacity Part 0,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,BSD-3.0,Using dss_python.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,2022-11-30 04:16:00,2024-12-09 04:10:44.000000,2024-12-09 04:10:38,45.0,4.0,,5.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Tutorial on DER Hosting Capacity Part 1,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,BSD-3.0,Advanced Tools for the Analysis of Three-Phase Unbalanced LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,2023-03-09 03:28:07,2025-03-25 01:08:53.000000,2025-03-25 01:08:48,33.0,3.0,,4.0,5.0,0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Tutorial on DER Hosting Capacity Part 2,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,BSD-3.0,Time-Series Analysis and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,2022-12-01 03:15:41,2025-03-25 01:02:03.000000,2025-03-25 01:02:01,40.0,1.0,,2.0,6.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Tutorial on DER Hosting Capacity Part 3,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,BSD-3.0,Volt-Watt Control and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,2023-05-29 06:17:07,2025-03-31 02:33:02.000000,2025-03-31 02:32:56,19.0,,,1.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Tutorial on DER Hosting Capacity Part 4,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,BSD-3.0,Monte Carlo Assessment of PV Hosting Capacity of an Integrated MV-LV Network.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,2023-05-29 23:51:23,2024-12-09 03:42:30.000000,2024-12-09 03:42:26,27.0,2.0,,2.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,LTB Demo,book,"['jupyter', 'python', 'university']",True,CURENT/demo,MIT,Ready-to-use LTB usage examples.,https://github.com/CURENT/demo,https://ltb.curent.org,2023-03-28 15:37:01,2025-11-10 14:41:32.000000,2025-11-10 14:40:05,220.0,2.0,,4.0,4.0,0,True,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
21,CVXPY,opl,"['gha', 'pypi', 'conda', 'python', 'university']",,cvxpy/cvxpy,Apache-2,Convex optimization modeling language.,https://github.com/cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,2013-07-01 23:48:58,2025-12-18 17:29:13.000000,2025-12-18 17:29:12,3750.0,1134.0,267.0,6031.0,235.0,40,True,http://www.cvxpy.org/,125.0,1287.0,1345.0,2025-12-05 03:26:02.000,1.7.5,144.0,52.0,cvxpy,conda-forge/cvxpy,635.0,3082749.0,19314.0,18486.0,https://pypi.org/project/cvxpy,2025-12-05 03:26:02.000,828.0,3053908.0,https://anaconda.org/conda-forge/cvxpy,2025-12-17 12:56:19.610,1903002.0,1.0,,,,,,,
22,Pyomo,opl,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'lab']",,Pyomo/pyomo,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,https://www.pyomo.org,2016-05-27 19:33:45,2025-12-10 05:45:43.000000,2025-12-10 05:45:43,29015.0,557.0,319.0,2347.0,184.0,40,True,https://pyomo.readthedocs.io/en/stable/,56.0,2327.0,1169.0,2025-10-17 20:39:01.000,6.9.5,70.0,444.0,Pyomo,conda-forge/pyomo,5315.0,1157423.0,4935.0,4652.0,https://pypi.org/project/Pyomo,2025-02-21 15:30:59.000,283.0,1129715.0,https://anaconda.org/conda-forge/pyomo,2025-10-17 21:28:53.510,1821193.0,1.0,,,,,,,
23,OR-Tools,ops,"['gha', 'python', 'cpp', 'java', 'for-profit']",,google/or-tools,Apache-2,Google Optimization Tools.,https://github.com/google/or-tools,https://developers.google.com/optimization/,2015-02-21 01:25:35,2025-12-18 16:24:47.000000,2025-11-25 09:33:28,15265.0,2321.0,72.0,12845.0,193.0,38,True,https://developers.google.com/optimization/introduction,306.0,646.0,3089.0,2025-06-19 15:45:38.000,9.14.6206,82.0,3.0,ortools,conda-forge/ortools-python,388610.0,3457594.0,669.0,357.0,https://pypi.org/project/ortools,2025-06-19 15:45:38.000,312.0,3451689.0,https://anaconda.org/conda-forge/ortools-python,2025-04-22 14:58:03.564,137337.0,1.0,,,,,,,
24,Xopt,ops,"['gha', 'python', 'pypi', 'conda', 'lab']",,google/or-tools,MPL-2.0,Flexible high-level optimization in Python.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-12-18 16:24:47.000000,2025-11-25 09:33:28,15265.0,2321.0,72.0,12845.0,193.0,35,True,https://xopt.xopt.org/index.html,306.0,646.0,3089.0,2025-12-03 18:24:10.000,2.6.8,51.0,3.0,xopt,conda-forge/xopt,388610.0,6012.0,362.0,357.0,https://pypi.org/project/xopt,2025-12-03 18:24:10.000,5.0,1653.0,https://anaconda.org/conda-forge/xopt,2025-12-03 19:59:29.987,67213.0,1.0,,,,,,,
25,HiGHS,ops,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'c', 'julia', 'rust', 'r', 'cpp', 'university']",,ERGO-Code/HiGHS,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,https://highs.dev/,2018-03-27 13:57:58,2025-12-18 18:20:26.000000,2025-12-11 20:23:13,13008.0,265.0,125.0,1413.0,98.0,35,True,https://ergo-code.github.io/HiGHS/,33.0,1530.0,858.0,2025-10-25 18:08:13.000,1.12.0,20.0,349.0,highspy,conda-forge/highs,16730.0,580337.0,102.0,,https://pypi.org/project/highspy,2025-10-25 18:08:13.000,102.0,578622.0,https://anaconda.org/conda-forge/highs,2025-11-25 16:14:37.945,39661.0,1.0,,,,,,,
26,pandapower,steady-state,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'university']",,e2nIEE/pandapower,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,https://www.pandapower.org/,2017-01-12 13:27:53,2025-12-18 16:30:02.000000,2025-12-18 16:30:02,10651.0,537.0,149.0,1071.0,174.0,34,True,https://pandapower.readthedocs.io/en/latest/,46.0,1589.0,958.0,2025-12-16 09:57:41.000,3.3.0,55.0,178.0,pandapower,conda-forge/pandapower,,183366.0,595.0,520.0,https://pypi.org/project/pandapower,2025-12-16 09:57:41.000,75.0,182821.0,https://anaconda.org/conda-forge/pandapower,2025-10-27 08:12:12.961,34826.0,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,117.0,,,
27,Tulip,ops,"['gha', 'julia', 'university']",,google/or-tools,MPL-2.0,Interior-point solver in pure Julia.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-12-18 16:24:47.000000,2025-11-25 09:33:28,15265.0,2321.0,72.0,12845.0,193.0,33,True,https://ds4dm.github.io/Tulip.jl/stable/,306.0,646.0,3089.0,2025-06-19 09:17:59.000,9.14,51.0,3.0,,,388610.0,3159.0,357.0,357.0,,,,,,,,2.0,,,,,,,
28,PyPSA,steady-state,"['gha', 'pypi', 'conda', 'python', 'jupyter', 'university']",,PyPSA/PyPSA,MIT,Python for Power System Analysis.,https://github.com/PyPSA/PyPSA,https://pypsa.org,2016-01-11 09:04:18,2025-12-18 13:27:45.000000,2025-12-18 08:38:14,3160.0,584.0,120.0,1762.0,108.0,33,True,https://pypsa.readthedocs.io/en/latest/,69.0,988.0,387.0,2025-12-04 09:16:21.000,1.0.5,80.0,128.0,pypsa,conda-forge/pypsa,,77951.0,353.0,314.0,https://pypi.org/project/pypsa,2025-12-04 09:16:21.000,39.0,75114.0,https://anaconda.org/conda-forge/pypsa,2025-12-04 11:18:26.849,184422.0,1.0,,,,,,,
29,PySCIPOpt,ops,"['gha', 'pypi', 'conda', 'python', 'lab']",,scipopt/PySCIPOpt,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,https://www.scipopt.org/,2016-05-19 14:29:21,2025-12-17 11:28:46.000000,2025-12-05 16:07:35,2213.0,273.0,26.0,951.0,85.0,32,True,https://scipopt.github.io/PySCIPOpt/docs/html/,26.0,508.0,590.0,2025-11-28 17:22:10.000,6.0.0,74.0,57.0,PySCIPOpt,conda-forge/pyscipopt,,200243.0,497.0,411.0,https://pypi.org/project/PySCIPOpt,2025-11-28 17:19:45.000,86.0,189514.0,https://anaconda.org/conda-forge/pyscipopt,2025-08-30 15:50:04.990,622306.0,2.0,,,,,,,
30,Power Grid Model,steady-state,"['gha', 'pypi', 'conda', 'python', 'c', 'jupyter', 'non-profit']",,PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2025-12-18 16:49:30.000000,2025-12-17 11:43:30,9685.0,48.0,100.0,197.0,29.0,31,True,https://power-grid-model.readthedocs.io/en/stable/,5.0,955.0,180.0,2025-12-17 13:06:31.000,1.12.91,760.0,528.0,power-grid-model,conda-forge/power-grid-model,1679.0,198245.0,49.0,36.0,https://pypi.org/project/power-grid-model,2025-12-17 13:06:31.000,13.0,63448.0,https://anaconda.org/conda-forge/power-grid-model,2025-12-17 15:39:31.210,4165721.0,1.0,,,,,,,
31,OSQP,ops,"['gha', 'pypi', 'conda', 'python', 'c', 'julia', 'octave', 'r', 'university']",,osqp/osqp,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,https://osqp.org,2016-09-27 03:02:46,2025-12-16 01:31:11.898000,2025-11-10 12:54:10,2982.0,383.0,112.0,2022.0,36.0,30,True,https://osqp.org/docs/get_started/,40.0,308.0,277.0,2025-05-08 15:15:55.000,1.0.4,44.0,4.0,osqp,conda-forge/osqp,154762.0,2757237.0,125.0,,https://pypi.org/project/osqp,2025-10-15 14:04:59.000,125.0,2732805.0,https://anaconda.org/conda-forge/osqp,2025-12-16 01:31:11.898,1353754.0,2.0,,,,,,,
32,OpenModelica,cosime,"['modelica', 'python', 'university']",,OpenModelica/OpenModelica,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,https://openmodelica.org,2015-05-03 16:59:29,2025-12-18 17:24:47.000000,2025-12-18 14:09:22,37910.0,354.0,2113.0,1228.0,202.0,29,True,https://openmodelica.org/useresresources/userdocumentation,54.0,5812.0,6452.0,2025-11-25 15:53:30.000,1.25.7,36.0,247.0,,,504.0,460.0,,,,,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2025-11-25 15:53:15.273002,57942.0,6.0,,
33,SCS,ops,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'r', 'c', 'university']",,cvxgrp/scs,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,https://github.com/cvxgrp/scs,2013-11-29 23:11:16,2025-12-18 00:59:08.571000,2025-12-16 11:09:50,1292.0,140.0,43.0,608.0,32.0,29,True,https://www.cvxgrp.org/scs/,32.0,149.0,145.0,2025-10-12 20:19:20.000,3.2.9,46.0,11.0,scs,conda-forge/scs,,2470624.0,66.0,,https://pypi.org/project/scs,2025-10-12 20:19:20.000,66.0,2445067.0,https://anaconda.org/conda-forge/scs,2025-12-18 00:59:08.571,1559007.0,2.0,,,,,,,
34,CVXOPT,opl,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'university']",,cvxopt/cvxopt,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,https://cvxopt.org/,2013-02-22 22:14:31,2025-12-13 07:52:10.018000,2025-10-20 19:45:14,61.0,214.0,45.0,1026.0,10.0,27,True,http://cvxopt.org/userguide/,39.0,73.0,150.0,2023-08-09 14:30:49.000,1.3.2,17.0,1.0,cvxopt,conda-forge/cvxopt,,733611.0,15091.0,14629.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,462.0,706156.0,https://anaconda.org/conda-forge/cvxopt,2025-12-13 07:52:10.018,1702233.0,2.0,,,,,,,
35,Ipopt,ops,"['pypi', 'conda', 'python', 'non-profit']",,coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,https://www.coin-or.org/,2019-01-28 12:24:22,2025-09-30 09:05:33.000000,2025-09-30 09:05:33,2429.0,304.0,7.0,1674.0,38.0,26,True,https://coin-or.github.io/Ipopt/,46.0,44.0,614.0,2025-07-30 10:34:09.000,releases/3.14.19,33.0,3.0,ipopt,conda-forge/ipopt,26460.0,46437.0,10.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,13030.0,https://anaconda.org/conda-forge/ipopt,2025-08-18 07:11:47.214,2047122.0,3.0,,,,,,,
36,precice,cosime,"['gha', 'c', 'pypi', 'conda', 'university']",,precice/precice,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,https://precice.org/,2015-05-22 14:05:22,2025-12-18 03:55:27.652456,2025-12-15 08:09:56,5575.0,206.0,202.0,862.0,62.0,26,True,https://precice.org/docs.html,35.0,1468.0,739.0,2025-10-16 08:59:43.000,3.3.1,36.0,57.0,pyprecice,conda-forge/pyprecice,39985.0,4982.0,8.0,,https://pypi.org/project/pyprecice,2025-10-16 08:59:43.000,8.0,1407.0,https://anaconda.org/conda-forge/pyprecice,2025-10-16 10:22:35.141,141962.0,3.0,precice/precice,https://hub.docker.com/r/precice/precice,2025-12-18 03:55:27.652456,33900.0,,,
37,GridCal,steady-state,"['gha', 'pypi', 'python', 'volunteer']",,SanPen/GridCal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/VeraGrid,https://www.eroots.tech/software,2016-01-13 15:40:10,2025-12-15 08:26:04.000000,2025-12-11 22:53:13,16114.0,119.0,29.0,492.0,59.0,26,True,https://gridcal.readthedocs.io/en/latest/?badge=latest,35.0,154.0,265.0,2025-08-27 15:57:46.000,5.4.0,424.0,67.0,GridCal,,57.0,16999.0,,,https://pypi.org/project/GridCal,2025-08-27 15:57:46.000,,16999.0,,,,1.0,,,,,,SanPen/VeraGrid,5.0
38,Grid2Op,mrl,"['gha', 'pypi', 'jupyter', 'python', 'for-profit']",,rte-france/Grid2Op,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/Grid2op/grid2op,https://l2rpn.chalearn.org/,2019-10-10 17:04:46,2025-11-20 08:59:36.000000,2025-11-18 10:50:09,3508.0,135.0,56.0,398.0,32.0,26,True,https://grid2op.readthedocs.io/en/latest/,20.0,333.0,328.0,2025-11-18 10:51:44.000,1.12.2,92.0,13.0,Grid2Op,,,10372.0,23.0,,https://pypi.org/project/Grid2Op,2025-07-24 18:24:04.000,23.0,10233.0,,,,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,10334.0,1.0,Grid2op/grid2op,
39,GridStatus,data,"['gha', 'pypi', 'python', 'for-profit']",,kmax12/gridstatus,BSD-3,Extract data from ISOs and other sources.,https://github.com/gridstatus/gridstatus,https://www.gridstatus.io,2022-07-28 19:24:20,2025-12-18 18:32:58.000000,2025-12-16 22:55:24,738.0,70.0,43.0,375.0,36.0,26,True,https://docs.gridstatus.io/en/latest/,10.0,628.0,88.0,2025-12-11 16:09:29.000,0.34.0,36.0,79.0,gridstatus,services/gridstatus,,65354.0,26.0,24.0,https://pypi.org/project/gridstatus,2025-12-11 16:09:29.000,2.0,65353.0,https://anaconda.org/services/gridstatus,2025-03-25 16:20:32.129,31.0,1.0,,,,,,gridstatus/gridstatus,
40,JuMP,opl,"['gha', 'jupyter', 'julia', 'non-profit']",,jump-dev/JuMP.jl,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,https://jump.dev,2012-10-10 00:34:45,2025-12-15 04:40:04.000000,2025-12-15 04:02:52,5124.0,413.0,17.0,2385.0,168.0,25,True,https://jump.dev/JuMP.jl/stable/,80.0,2507.0,1512.0,2025-11-12 20:30:54.000,1.29.3,89.0,19.0,,,,,,,,,,,,,,3.0,,,,,,,
41,ECOS,ops,"['python', 'julia', 'c', 'octave', 'r', 'university']",,embotech/ecos,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,https://github.com/embotech/ecos,2013-02-11 21:27:50,2025-11-06 08:27:49.404000,2022-01-04 22:33:07,622.0,126.0,67.0,533.0,40.0,25,True,https://github.com/embotech/ecos/wiki,34.0,65.0,95.0,2024-06-18 03:47:45.000,2.0.14,24.0,,ecos,conda-forge/ecos,,747294.0,49.0,,https://pypi.org/project/ecos,2024-06-18 03:47:45.000,49.0,728219.0,https://anaconda.org/conda-forge/ecos,2025-11-06 08:27:49.404,1163601.0,3.0,,,,,,,
42,pandapipes,gasnet,"['gha', 'pypi', 'jupyter', 'python', 'university']",,e2nIEE/pandapipes,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,https://www.pandapipes.org/,2020-02-03 15:04:57,2025-12-10 07:14:45.000000,2025-12-10 07:14:45,2266.0,75.0,87.0,201.0,29.0,25,True,https://jkpandapipes.readthedocs.io/en/latest/,10.0,561.0,88.0,2025-06-27 16:34:37.000,0.12.0,22.0,18.0,pandapipes,,,12320.0,45.0,35.0,https://pypi.org/project/pandapipes,2025-06-27 16:34:37.000,10.0,12320.0,,,,1.0,,,,,,,
43,PowSyBl Core,steady-state,"['gha', 'java', 'non-profit']",,powsybl/powsybl-core,MPL-2.0,Framework to build power system software.,https://github.com/powsybl/powsybl-core,https://www.powsybl.org,2017-09-29 14:51:18,2025-12-18 16:03:06.000000,2025-12-03 14:21:22,3644.0,50.0,276.0,150.0,124.0,25,True,https://www.javadoc.io/doc/com.powsybl/powsybl-core/latest/,21.0,3051.0,431.0,2025-12-04 10:30:13.000,7.1.0,100.0,96.0,,,,,94.0,94.0,,,,,,,,1.0,,,,,,,
44,CBC,ops,"['gha', 'conda', 'python', 'julia', 'c', 'non-profit']",,coin-or/Cbc,EPL-2.0,COIN-OR Branch-and-Cut solver.,https://github.com/coin-or/Cbc,https://www.coin-or.org/,2019-03-02 23:20:41,2025-12-15 12:18:35.000000,2025-12-15 12:18:22,2546.0,130.0,156.0,965.0,35.0,23,True,https://coin-or.github.io/Cbc/Doxygen/,39.0,87.0,388.0,2024-08-20 07:17:43.000,releases/2.10.12,14.0,12.0,,conda-forge/coincbc,241394.0,27111.0,,,,,,,https://anaconda.org/conda-forge/coincbc,2025-08-02 13:50:56.422,1491492.0,3.0,,,,,,,
