,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id
17,Tutorial on DER Hosting Capacity Part 2,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,BSD-3.0,Time-Series Analysis and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,2022-12-01 03:15:41,2025-03-25 01:02:03.000,2025-03-25 01:02:01,40.0,1.0,,2.0,6.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Tutorial on DER Hosting Capacity Part 3,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,BSD-3.0,Volt-Watt Control and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,2023-05-29 06:17:07,2025-03-31 02:33:02.000,2025-03-31 02:32:56,19.0,,,1.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Tutorial on DER Hosting Capacity Part 4,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,BSD-3.0,Monte Carlo Assessment of PV Hosting Capacity of an Integrated MV-LV Network.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,2023-05-29 23:51:23,2024-12-09 03:42:30.000,2024-12-09 03:42:26,27.0,2.0,,2.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,LTB Demo,book,"['jupyter', 'python', 'university']",True,CURENT/demo,MIT,Ready-to-use LTB usage examples.,https://github.com/CURENT/demo,https://ltb.curent.org,2023-03-28 15:37:01,2025-11-10 14:41:32.000,2025-11-10 14:40:05,220.0,2.0,,4.0,4.0,0,True,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
21,OR-Tools,ops,"['gha', 'python', 'cpp', 'java', 'for-profit']",,google/or-tools,Apache-2,Google Optimization Tools.,https://github.com/google/or-tools,https://developers.google.com/optimization/,2015-02-21 01:25:35,2026-01-29 17:38:47.000,2026-01-12 15:44:39,15808.0,2348.0,78.0,13036.0,201.0,40,True,https://developers.google.com/optimization/introduction,309.0,682.0,3094.0,2026-01-14 15:37:43.000,9.15.6755,83.0,164.0,ortools,conda-forge/ortools-python,286147.0,2992700.0,753.0,364.0,https://pypi.org/project/ortools,2026-01-14 15:37:43.000,389.0,2987614.0,https://anaconda.org/conda-forge/ortools-python,2025-04-22 14:58:03.564,141764.0,1.0,,,,,,,
22,CVXPY,opl,"['gha', 'pypi', 'conda', 'python', 'university']",,cvxpy/cvxpy,Apache-2,Convex optimization modeling language.,https://github.com/cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,2013-07-01 23:48:58,2026-01-29 18:29:43.000,2026-01-29 18:23:07,3796.0,1146.0,247.0,6082.0,239.0,40,True,http://www.cvxpy.org/,125.0,1336.0,1355.0,2026-01-27 21:15:56.000,1.8.0,145.0,80.0,cvxpy,conda-forge/cvxpy,689.0,2773271.0,19476.0,18604.0,https://pypi.org/project/cvxpy,2026-01-27 21:10:11.000,872.0,2744207.0,https://anaconda.org/conda-forge/cvxpy,2025-12-17 12:56:19.610,1946742.0,1.0,,,,,,,
23,Pyomo,opl,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'lab']",,Pyomo/pyomo,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,https://www.pyomo.org,2016-05-27 19:33:45,2026-01-27 16:00:46.000,2026-01-27 16:00:46,29187.0,557.0,319.0,2377.0,186.0,40,True,https://pyomo.readthedocs.io/en/stable/,56.0,2345.0,1171.0,2025-10-17 20:39:01.000,6.9.5,70.0,199.0,Pyomo,conda-forge/pyomo,5454.0,1039804.0,4976.0,4693.0,https://pypi.org/project/Pyomo,2025-02-21 15:30:59.000,283.0,1011257.0,https://anaconda.org/conda-forge/pyomo,2025-10-17 21:28:53.510,1904941.0,1.0,1.0,,,,,,
24,Xopt,ops,"['gha', 'python', 'pypi', 'conda', 'lab']",,google/or-tools,MPL-2.0,Flexible high-level optimization in Python.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2026-01-29 17:38:47.000,2026-01-12 15:44:39,15808.0,2348.0,78.0,13036.0,201.0,37,True,https://xopt.xopt.org/index.html,309.0,682.0,3094.0,2026-01-28 15:56:21.000,2.6.11,52.0,164.0,xopt,conda-forge/xopt,286122.0,4683.0,369.0,364.0,https://pypi.org/project/xopt,2026-01-28 15:56:21.000,5.0,1146.0,https://anaconda.org/conda-forge/xopt,2026-01-29 04:21:18.735,70159.0,1.0,1.0,,,,,,
25,Tulip,ops,"['gha', 'julia', 'university']",,google/or-tools,MPL-2.0,Interior-point solver in pure Julia.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2026-01-29 17:38:47.000,2026-01-12 15:44:39,15808.0,2348.0,78.0,13036.0,201.0,36,True,https://ds4dm.github.io/Tulip.jl/stable/,309.0,682.0,3094.0,2026-01-12 15:38:30.000,9.15,52.0,164.0,,,286147.0,2307.0,364.0,364.0,,,,,,,,2.0,,,,,,,
26,pandapower,steady-state,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'university']",,e2nIEE/pandapower,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,https://www.pandapower.org/,2017-01-12 13:27:53,2026-01-29 15:01:59.000,2026-01-29 11:44:11,10670.0,539.0,153.0,1093.0,176.0,34,True,https://pandapower.readthedocs.io/en/latest/,46.0,1609.0,965.0,2026-01-15 11:51:21.000,3.3.2,57.0,47.0,pandapower,conda-forge/pandapower,,121284.0,605.0,529.0,https://pypi.org/project/pandapower,2026-01-14 12:23:09.000,76.0,120725.0,https://anaconda.org/conda-forge/pandapower,2025-10-27 08:12:12.961,36300.0,1.0,,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,142.0,,
27,PyPSA,steady-state,"['gha', 'pypi', 'conda', 'python', 'jupyter', 'university']",,PyPSA/PyPSA,MIT,Python for Power System Analysis.,https://github.com/PyPSA/PyPSA,https://pypsa.org,2016-01-11 09:04:18,2026-01-28 21:14:50.000,2026-01-28 21:14:49,3189.0,597.0,131.0,1821.0,110.0,32,True,https://pypsa.readthedocs.io/en/latest/,69.0,1021.0,396.0,2026-01-13 13:23:28.000,1.0.7,82.0,71.0,pypsa,conda-forge/pypsa,,20941.0,355.0,316.0,https://pypi.org/project/pypsa,2026-01-13 13:23:28.000,39.0,17985.0,https://anaconda.org/conda-forge/pypsa,2026-01-14 12:12:13.515,195161.0,1.0,,,,,,,
28,PySCIPOpt,ops,"['gha', 'pypi', 'conda', 'python', 'lab']",,scipopt/PySCIPOpt,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,https://www.scipopt.org/,2016-05-19 14:29:21,2026-01-29 12:44:53.000,2026-01-29 12:44:53,2241.0,273.0,26.0,961.0,89.0,32,True,https://scipopt.github.io/PySCIPOpt/docs/html/,25.0,538.0,606.0,2025-11-28 17:22:10.000,6.0.0,74.0,61.0,PySCIPOpt,conda-forge/pyscipopt,,154649.0,503.0,417.0,https://pypi.org/project/PySCIPOpt,2025-11-28 17:19:45.000,86.0,143687.0,https://anaconda.org/conda-forge/pyscipopt,2025-08-30 15:50:04.990,646763.0,2.0,,,,,,,
29,HiGHS,ops,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'c', 'julia', 'rust', 'r', 'cpp', 'university']",,ERGO-Code/HiGHS,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,https://highs.dev/,2018-03-27 13:57:58,2026-01-29 17:40:49.000,2026-01-05 10:18:11,13009.0,270.0,128.0,1459.0,98.0,31,True,https://ergo-code.github.io/HiGHS/,31.0,1570.0,890.0,2025-10-25 18:08:13.000,1.12.0,20.0,2.0,highspy,conda-forge/highs,21350.0,583908.0,102.0,,https://pypi.org/project/highspy,2025-10-25 18:08:13.000,102.0,581991.0,https://anaconda.org/conda-forge/highs,2025-11-25 16:14:37.945,44489.0,2.0,-2.0,,,,,,
30,Power Grid Model,steady-state,"['gha', 'pypi', 'conda', 'python', 'c', 'jupyter', 'non-profit']",,PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2026-01-29 14:19:46.000,2026-01-28 11:01:37,10077.0,53.0,100.0,208.0,59.0,31,True,https://power-grid-model.readthedocs.io/en/stable/,5.0,993.0,191.0,2026-01-28 12:24:26.000,1.13.0,797.0,656.0,power-grid-model,conda-forge/power-grid-model,1626.0,207723.0,51.0,38.0,https://pypi.org/project/power-grid-model,2026-01-28 12:24:26.000,13.0,71259.0,https://anaconda.org/conda-forge/power-grid-model,2026-01-28 13:29:55.575,4353868.0,1.0,,,,,,,
31,OSQP,ops,"['gha', 'pypi', 'conda', 'python', 'c', 'julia', 'octave', 'r', 'university']",,osqp/osqp,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,https://osqp.org,2016-09-27 03:02:46,2026-01-26 21:12:22.000,2025-11-10 12:54:10,2982.0,389.0,112.0,2056.0,36.0,30,True,https://osqp.org/docs/get_started/,40.0,311.0,278.0,2025-10-15 14:04:59.000,1.0.5,45.0,2.0,osqp,conda-forge/osqp,166445.0,2546488.0,147.0,,https://pypi.org/project/osqp,2026-01-26 21:12:22.000,147.0,2521884.0,https://anaconda.org/conda-forge/osqp,2025-12-16 01:31:11.898,1381145.0,2.0,1.0,,,,,,
32,SCS,ops,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'r', 'c', 'university']",,cvxgrp/scs,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,https://github.com/cvxgrp/scs,2013-11-29 23:11:16,2026-01-10 21:43:01.897,2026-01-09 17:14:03,1300.0,141.0,43.0,613.0,32.0,29,True,https://www.cvxgrp.org/scs/,32.0,156.0,147.0,2026-01-09 17:52:41.000,3.2.11,48.0,13.0,scs,conda-forge/scs,,2365383.0,72.0,,https://pypi.org/project/scs,2026-01-09 17:52:41.000,72.0,2339557.0,https://anaconda.org/conda-forge/scs,2026-01-10 21:43:01.897,1601273.0,2.0,,,,,,,
33,OpenModelica,cosime,"['modelica', 'python', 'university']",,OpenModelica/OpenModelica,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,https://openmodelica.org,2015-05-03 16:59:29,2026-01-29 16:24:45.000,2026-01-29 16:24:44,37963.0,355.0,2143.0,1258.0,203.0,28,True,https://openmodelica.org/useresresources/userdocumentation,53.0,5873.0,6481.0,2026-01-13 08:19:01.000,1.26.1,39.0,185.0,,,505.0,474.0,,,,,,,,,,1.0,-1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2026-01-13 08:12:45.294453,60161.0,6.0,
34,CVXOPT,opl,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'university']",,cvxopt/cvxopt,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,https://cvxopt.org/,2013-02-22 22:14:31,2025-12-13 07:52:10.018,2025-10-20 19:45:14,61.0,214.0,45.0,1029.0,10.0,28,True,http://cvxopt.org/userguide/,39.0,73.0,150.0,2023-08-09 14:30:49.000,1.3.2,17.0,,cvxopt,conda-forge/cvxopt,,616208.0,15132.0,14670.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,462.0,588344.0,https://anaconda.org/conda-forge/cvxopt,2025-12-13 07:52:10.018,1755436.0,2.0,,,,,,,
35,precice,cosime,"['gha', 'c', 'pypi', 'conda', 'university']",,precice/precice,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,https://precice.org/,2015-05-22 14:05:22,2026-01-29 17:15:31.000,2026-01-22 17:21:16,5610.0,210.0,202.0,877.0,66.0,26,True,https://precice.org/docs.html,35.0,1483.0,743.0,2026-01-14 15:28:58.000,3.3.1,36.0,59.0,pyprecice,conda-forge/pyprecice,41473.0,4689.0,8.0,,https://pypi.org/project/pyprecice,2025-10-16 08:59:43.000,8.0,1022.0,https://anaconda.org/conda-forge/pyprecice,2025-10-16 10:22:35.141,148500.0,3.0,,precice/precice,https://hub.docker.com/r/precice/precice,2026-01-29 04:26:47.486430,35198.0,,
36,JuMP,opl,"['gha', 'jupyter', 'julia', 'non-profit']",,jump-dev/JuMP.jl,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,https://jump.dev,2012-10-10 00:34:45,2026-01-28 00:25:58.000,2026-01-27 23:41:01,5136.0,413.0,17.0,2397.0,169.0,25,True,https://jump.dev/JuMP.jl/stable/,80.0,2520.0,1512.0,2026-01-16 22:05:53.000,1.29.4,90.0,19.0,,,,,,,,,,,,,,3.0,,,,,,,
37,Ipopt,ops,"['pypi', 'conda', 'python', 'non-profit']",,coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,https://www.coin-or.org/,2019-01-28 12:24:22,2025-09-30 09:05:33.000,2025-09-30 09:05:33,2429.0,304.0,8.0,1699.0,38.0,25,True,https://coin-or.github.io/Ipopt/,45.0,44.0,615.0,2025-07-30 10:34:09.000,releases/3.14.19,33.0,,ipopt,conda-forge/ipopt,27654.0,34986.0,10.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,923.0,https://anaconda.org/conda-forge/ipopt,2025-08-18 07:11:47.214,2120817.0,3.0,,,,,,,
38,ECOS,ops,"['python', 'julia', 'c', 'octave', 'r', 'university']",,embotech/ecos,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,https://github.com/embotech/ecos,2013-02-11 21:27:50,2025-11-06 08:27:49.404,2022-01-04 22:33:07,622.0,126.0,67.0,538.0,40.0,25,True,https://github.com/embotech/ecos/wiki,34.0,65.0,95.0,2024-06-18 03:47:45.000,2.0.14,24.0,,ecos,conda-forge/ecos,,763051.0,49.0,,https://pypi.org/project/ecos,2024-06-18 03:47:45.000,49.0,744035.0,https://anaconda.org/conda-forge/ecos,2025-11-06 08:27:49.404,1179032.0,3.0,,,,,,,
39,GridStatus,data,"['gha', 'pypi', 'python', 'for-profit']",,kmax12/gridstatus,BSD-3,Extract data from ISOs and other sources.,https://github.com/gridstatus/gridstatus,https://www.gridstatus.io,2022-07-28 19:24:20,2026-01-29 14:42:35.000,2026-01-28 01:23:51,757.0,70.0,43.0,383.0,36.0,25,True,https://docs.gridstatus.io/en/latest/,10.0,647.0,88.0,2025-12-11 16:09:29.000,0.34.0,36.0,70.0,gridstatus,services/gridstatus,,29690.0,26.0,24.0,https://pypi.org/project/gridstatus,2025-12-11 16:09:29.000,2.0,29689.0,https://anaconda.org/services/gridstatus,2025-03-25 16:20:32.129,32.0,1.0,,,,,,,gridstatus/gridstatus
40,LTB ANDES,phasor,"['gha', 'azure', 'pypi', 'conda', 'jupyter', 'python', 'julia', 'university']",,CURENT/andes,GPL-3,Transient Stability Simulator; CURENT LTB.,https://github.com/CURENT/andes,https://ltb.curent.org/,2016-11-07 01:04:50,2026-01-06 05:18:57.949,2026-01-05 14:39:36,4675.0,143.0,17.0,328.0,27.0,25,True,https://docs.andes.app/en/latest/,15.0,295.0,66.0,2026-01-05 14:48:37.000,1.10.0,115.0,51.0,andes,conda-forge/andes,,12092.0,33.0,29.0,https://pypi.org/project/andes,2026-01-05 14:48:37.000,4.0,1460.0,https://anaconda.org/conda-forge/andes,2026-01-06 05:18:57.949,723017.0,1.0,,CURENT/andes,https://hub.docker.com/r/CURENT/andes,,,,
41,pandapipes,gasnet,"['gha', 'pypi', 'jupyter', 'python', 'university']",,e2nIEE/pandapipes,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,https://www.pandapipes.org/,2020-02-03 15:04:57,2026-01-28 16:45:37.000,2026-01-28 16:45:37,2272.0,77.0,92.0,203.0,29.0,25,True,https://jkpandapipes.readthedocs.io/en/latest/,9.0,568.0,89.0,2026-01-16 14:14:39.000,0.13.0,23.0,18.0,pandapipes,,,7762.0,51.0,37.0,https://pypi.org/project/pandapipes,2026-01-16 14:14:39.000,14.0,7762.0,,,,1.0,,,,,,,
42,PowSyBl Core,steady-state,"['gha', 'java', 'non-profit']",,powsybl/powsybl-core,MPL-2.0,Framework to build power system software.,https://github.com/powsybl/powsybl-core,https://www.powsybl.org,2017-09-29 14:51:18,2026-01-29 16:35:28.000,2026-01-29 15:28:58,3663.0,51.0,276.0,153.0,123.0,25,True,https://www.javadoc.io/doc/com.powsybl/powsybl-core/latest/,21.0,3090.0,458.0,2026-01-12 16:44:56.000,7.1.1,100.0,58.0,,,,,94.0,94.0,,,,,,,,1.0,,,,,,,
43,Clarabel.rs,ops,"['gha', 'pypi', 'conda', 'python', 'rust', 'university']",,oxfordcontrol/Clarabel.rs,Apache-2.0,Interior-point solver for convex conic optimisation in Rust.,https://github.com/oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34,2025-12-17 09:55:56.799,2025-09-25 13:24:15,629.0,38.0,14.0,513.0,11.0,24,True,https://oxfordcontrol.github.io/ClarabelDocs/stable/,12.0,151.0,49.0,2025-06-11 16:48:58.000,0.11.1,18.0,,clarabel,conda-forge/clarabel,,2123398.0,96.0,53.0,https://pypi.org/project/clarabel,2025-06-11 16:48:58.000,43.0,2111529.0,https://anaconda.org/conda-forge/clarabel,2025-12-17 09:55:56.799,320486.0,3.0,,,,,,,
44,VeraGrid,steady-state,"['gha', 'pypi', 'python', 'for-profit']",,SanPen/VeraGrid,MPL-2.0,"Cross-platform power systems software, power flows, investments analysis, optimization and plenty of other stuff.",https://github.com/SanPen/VeraGrid,https://www.eroots.tech/software,2016-01-13 15:40:10,2026-01-21 09:22:52.000,2026-01-21 09:22:00,16118.0,120.0,25.0,502.0,59.0,24,True,https://veragrid.readthedocs.io/en/latest/?badge=latest,35.0,155.0,272.0,2025-08-27 07:46:25.000,0.0.1,26.0,21.0,veragrid,,57.0,989.0,,,https://pypi.org/project/veragrid,2025-08-27 07:46:25.000,,989.0,,,,1.0,,,,,,,
