,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,docs_url,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,new_addition,trending,dockerhub_stars,conda_latest_release_published_at,conda_total_downloads,updated_github_id
10,Grid2Op,mrl,"['python', 'jupyter']",,rte-france/Grid2Op,https://l2rpn.chalearn.org/,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,2019-10-10 17:04:46,2023-10-26 14:14:08,2023-10-26 14:09:31,2813,100.0,18.0,225.0,272.0,240,31.0,24,True,37.0,Grid2Op,,https://grid2op.readthedocs.io/en/latest/,95.0,2023-10-26 14:11:03,1.9.6,,2281.0,25.0,,,https://pypi.org/project/Grid2Op,2081.0,,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,9627.0,,,1.0,,,
11,Power Grid Model,steady-state,['python'],,alliander-opensource/power-grid-model,https://github.com/PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2023-10-26 06:52:40,2023-10-25 13:19:37,3557,17.0,5.0,320.0,57.0,93,16.0,24,True,34.0,power-grid-model,,https://power-grid-model.readthedocs.io/en/stable/,980.0,2023-10-26 06:52:40,1.6.19,649.0,21905.0,100.0,4.0,4.0,https://pypi.org/project/power-grid-model,21743.0,,2.0,,,,,,2.0,,,,PowerGridModel/power-grid-model
12,Ipopt,ops,['python'],,coin-or/Ipopt,https://github.com/coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2019-01-28 12:24:22,2023-10-23 12:34:19,2023-10-23 12:32:19,2334,243.0,42.0,24.0,542.0,1147,28.0,23,True,12.0,ipopt,ipopt,https://coin-or.github.io/Ipopt/,7.0,2023-04-05 09:21:32,releases/3.14.12,9248.0,1962.0,18.0,,,https://pypi.org/project/ipopt,1742.0,https://anaconda.org/anaconda/ipopt,3.0,,,,,,,,,,
13,precice,cosime,,,precice/precice,https://precice.org/,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,2015-05-22 14:05:22,2023-10-26 16:49:33,2023-10-26 16:49:22,4869,159.0,37.0,1081.0,588.0,607,54.0,23,True,176.0,pyprecice,pyprecice,https://precice.org/docs.html,101.0,2022-08-10 12:48:38,2.5.0,20421.0,759.0,25.0,,,https://pypi.org/project/pyprecice,339.0,https://anaconda.org/anaconda/pyprecice,3.0,precice/precice,https://hub.docker.com/r/precice/precice,2023-10-26 03:17:28.319817,13509.0,,,,,,
14,PowerSimulations.jl,steady-state,['julia'],,nrel-siip/powersimulations.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Optimization of Power Systems; Part of the SIIP at NREL.,https://github.com/NREL-Sienna/PowerSimulations.jl,2017-11-03 21:11:22,2023-10-25 23:34:25,2023-10-25 22:08:03,8172,48.0,18.0,732.0,251.0,236,32.0,23,True,21.0,,,https://nrel-siip.github.io/PowerSimulations.jl/latest/,223.0,2023-10-25 23:02:48,0.24.0,,,99.0,,,,,,2.0,,,,,,,,,,NREL-Sienna/PowerSimulations.jl
15,Atlite,data,['python'],,PyPSA/atlite,https://pypsa.org,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,2016-11-03 23:59:25,2023-10-25 14:26:11,2023-10-25 14:24:31,691,68.0,13.0,221.0,84.0,210,28.0,23,True,23.0,atlite,atlite,https://atlite.readthedocs.io/en/master/?badge=master,32.0,2023-10-25 10:29:04,0.2.12,,1111.0,11.0,38.0,38.0,https://pypi.org/project/atlite,1111.0,https://anaconda.org/anaconda/atlite,1.0,,,,,,,,,,
16,PyPSA-Eur,steady-state,['python'],,PyPSA/pypsa-eur,https://pypsa.org,MIT,Optimisation Model of the European Transmission System.,https://github.com/PyPSA/pypsa-eur,2017-10-11 23:54:41,2023-10-26 12:15:33,2023-10-26 08:10:36,3221,157.0,15.0,429.0,218.0,236,55.0,22,True,120.0,,,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,214.0,2023-07-27 09:57:00,0.8.1,,0.0,12.0,,,,,,2.0,nimfetrisa/pypsa-eur,https://hub.docker.com/r/nimfetrisa/pypsa-eur,2022-04-11 21:54:31.539284,36.0,,,,,,
17,AMPLPY,ops,['python'],,ampl/amplpy,https://ampl.com/,BSD-3,Python API for AMPL.,https://github.com/ampl/amplpy,2017-06-27 00:22:07,2023-10-03 19:50:12,2023-10-03 19:50:08,611,17.0,13.0,6.0,43.0,59,8.0,22,True,1.0,amplpy,amplpy,https://amplpy.readthedocs.io/en/latest/,39.0,2023-09-04 11:30:29,0.12.0,,17458.0,12.0,51.0,51.0,https://pypi.org/project/amplpy,17458.0,https://anaconda.org/anaconda/amplpy,3.0,,,,,True,,,,,
18,GridCal,steady-state,['python'],,SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,2016-01-13 15:40:10,2023-10-25 16:20:45,2023-08-21 09:26:51,2814,75.0,29.0,103.0,79.0,348,30.0,21,True,23.0,GridCal,,https://gridcal.readthedocs.io/en/latest/?badge=latest,4.0,2023-04-22 16:30:54,4.7.0,32.0,1590.0,18.0,7.0,7.0,https://pypi.org/project/GridCal,1590.0,,3.0,,,,,,-2.0,,,,
19,pandapipes,gasnet,['python'],,e2nIEE/pandapipes,https://www.pandapipes.org/,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,2020-02-03 15:04:57,2023-10-16 10:01:23,2023-09-19 05:00:30,1635,44.0,10.0,413.0,72.0,96,18.0,21,True,44.0,pandapipes,,https://jkpandapipes.readthedocs.io/en/latest/,31.0,2023-07-31 12:00:03,0.8.5,,867.0,15.0,12.0,12.0,https://pypi.org/project/pandapipes,867.0,,1.0,,,,,,,,,,
20,HELICS,cosimf,"['python', 'julia']",,GMLC-TDC/HELICS,https://helics.org/tools/,BSD-3,Framework to Integrate Simulators.,https://github.com/GMLC-TDC/HELICS,2017-06-01 17:03:19,2023-10-25 22:59:56,2023-07-11 15:59:48,3417,36.0,13.0,1909.0,552.0,101,38.0,20,True,74.0,helics,helics,,,2023-01-20 21:48:22,3.4.0,19638.0,2934.0,54.0,,,https://pypi.org/project/helics,2646.0,https://anaconda.org/anaconda/helics,1.0,,,,,,-2.0,,,,
21,LightSim2Grid,steady-state,['python'],,BDonnot/lightsim2grid/,https://l2rpn.chalearn.org/,MPL-2.0,A fast backend for the Grid2Op.,https://github.com/BDonnot/lightsim2grid,2020-03-09 07:35:27,2023-10-24 06:53:40,2023-10-05 15:32:58,541,9.0,2.0,31.0,26.0,40,,20,True,12.0,LightSim2Grid,,https://lightsim2grid.readthedocs.io/en/latest/,50.0,2023-10-16 10:24:01,0.7.5,101.0,3308.0,18.0,25.0,25.0,https://pypi.org/project/LightSim2Grid,3301.0,,3.0,bdonnot/lightsim2grid,https://hub.docker.com/r/bdonnot/lightsim2grid,2022-02-01 17:50:28.347059,175.0,,,,,,
22,matpower,steady-state,,,MATPOWER/matpower,https://matpower.org/,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,2016-12-16 19:12:30,2023-10-11 17:56:44,2023-05-31 17:11:01,2311,138.0,29.0,38.0,142.0,344,13.0,19,True,26.0,matpower,,https://matpower.org/doc/,,2020-10-08 23:57:49,7.1,384954.0,6670.0,4.0,,,https://pypi.org/project/matpower,134.0,,3.0,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2022-12-23 05:36:43.825145,1025.0,,,,,,
23,PYPOWER,steady-state,['python'],,rwl/PYPOWER,rwl.github.io/PYPOWER/api/,BSD,Port of MATPOWER to Python.,https://github.com/rwl/PYPOWER,2009-05-22 12:14:47,2023-07-06 21:40:30,2023-03-29 15:07:00,351,97.0,26.0,44.0,11.0,284,20.0,19,True,27.0,PYPOWER,pypower,http://rwl.github.io/PYPOWER/index.html,,2021-03-22 22:06:27,5.1.15,,3442.0,13.0,92.0,92.0,https://pypi.org/project/PYPOWER,3442.0,https://anaconda.org/anaconda/pypower,3.0,hwanghust/pypower,https://hub.docker.com/r/hwanghust/pypower,2019-05-19 07:28:05.197725,16.0,,-2.0,,,,
24,powerplantmatching,data,['python'],,PyPSA/powerplantmatching,https://pypsa.org,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,2016-08-15 16:36:25,2023-10-23 18:37:47,2023-07-25 12:00:39,839,46.0,18.0,63.0,54.0,121,20.0,19,True,19.0,powerplantmatching,powerplantmatching,https://atlite.readthedocs.io/en/master/?badge=master,,2023-05-30 09:24:13,0.5.7,51.0,321.0,14.0,31.0,31.0,https://pypi.org/project/powerplantmatching,321.0,https://anaconda.org/anaconda/powerplantmatching,3.0,,,,,,,,,,
25,PowerModels.jl,steady-state,['julia'],,lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,BSD,Power Network Optimization.,https://github.com/lanl-ansi/PowerModels.jl,2016-08-01 20:30:54,2023-10-03 18:31:50,2023-08-28 16:56:29,959,132.0,25.0,424.0,379.0,349,28.0,18,True,90.0,,,https://lanl-ansi.github.io/PowerModels.jl/stable/,7.0,2023-05-28 00:57:08,0.19.9,,,71.0,,,,,,3.0,,,,,,,,,,
26,OpenDSSDirect.py,intf,['python'],,dss-extensions/OpenDSSDirect.py,https://dss-extensions.org/,MIT,A direct library interface to OpenDSS.,https://github.com/dss-extensions/OpenDSSDirect.py,2017-06-20 19:18:22,2023-07-04 06:29:54,2023-07-02 04:24:36,390,20.0,13.0,31.0,80.0,72,3.0,18,True,15.0,OpenDSSDirect.py,opendssdirect.py,https://dss-extensions.org/OpenDSSDirect.py/,,2023-06-28 03:33:01,0.8.4,,2446.0,17.0,40.0,40.0,https://pypi.org/project/OpenDSSDirect.py,2446.0,https://anaconda.org/anaconda/opendssdirect.py,1.0,,,,,,4.0,,,,
27,LTB andes,dynamic,"['python', 'jupyter', 'ltb', 'curent']",,CURENT/andes,https://curent.github.io/,GPL-3,Transient Stability Simulator; Part of CURENT LTB.,https://github.com/CURENT/andes,2016-11-07 01:04:50,2023-10-21 01:44:46,2023-08-11 02:03:34,4406,78.0,15.0,264.0,46.0,175,20.0,17,True,5.0,andes,andes,https://docs.andes.app/en/latest/,6.0,2022-03-27 17:07:13,1.6.2,,493.0,18.0,,,https://pypi.org/project/andes,492.0,https://anaconda.org/anaconda/andes,1.0,cuihantao/andes,https://hub.docker.com/r/cuihantao/andes,2020-12-10 15:50:41.614180,110.0,,-4.0,,,,
28,PowerSimulationsDynamics.jl,dynamic,['julia'],,NREL-SIIP/PowerSimulationsDynamics.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Dynamic Power System simulations; Part of the SIIP at NREL.,https://github.com/NREL-Sienna/PowerSimulationsDynamics.jl,2020-07-16 19:36:16,2023-10-25 20:45:08,2023-10-25 19:19:00,2387,31.0,13.0,212.0,86.0,140,13.0,17,True,40.0,,,https://nrel-siip.github.io/PowerSimulationsDynamics.jl/stable/,13.0,2023-10-25 20:25:23,0.12.3,,,37.0,,,,,,1.0,,,,,,,,,,NREL-Sienna/PowerSimulationsDynamics.jl
29,Easy SimAuto,intf,['python'],,mzy2240/ESA,https://github.com/mzy2240/ESA,Apache-2.0,Python interface to PowerWorld.,https://github.com/mzy2240/ESA,2019-10-08 21:37:23,2023-06-05 21:16:13,2023-06-05 21:15:21,663,8.0,4.0,15.0,83.0,37,11.0,17,True,15.0,esa,,https://mzy2240.github.io/ESA/html/index.html,,2023-06-05 21:18:51,1.3.5,,2780.0,15.0,3.0,3.0,https://pypi.org/project/esa,2780.0,,2.0,,,,,,,,,,
30,GridPath,steady-state,['python'],,blue-marble/gridpath,https://www.gridpath.io/,Apache-2,Power system planning and operations.,https://github.com/blue-marble/gridpath,2016-08-12 18:13:28,2023-10-25 17:48:26,2023-01-24 20:38:40,1354,30.0,11.0,743.0,248.0,74,7.0,16,True,65.0,,,https://gridpath.readthedocs.io/en/latest/?badge=latest,,2023-01-24 21:18:20,0.15.0,649.0,15.0,22.0,2.0,2.0,,,,3.0,,,,,,,,,,
31,OpenIPSL,dynamic,,,OpenIPSL/OpenIPSL,https://github.com/OpenIPSL/OpenIPSL,BSD-3,A library of power system models written with Modelica.,https://github.com/OpenIPSL/OpenIPSL,2016-04-16 09:09:47,2023-10-24 13:49:28,2023-09-27 07:18:01,1736,43.0,19.0,220.0,99.0,61,31.0,16,True,13.0,,,https://doc.openipsl.org,9.0,2022-06-23 13:05:59,3.0.1,480.0,5.0,15.0,,,,,,2.0,,,,,,,,,,
32,PyDSS,intf,['python'],,NREL/PyDSS,https://www.nrel.gov/grid/pydss.html,BSD-3,A Python wrapper for OpenDSS.,https://github.com/NREL/PyDSS,2018-10-16 15:59:07,2023-10-24 20:36:20,2023-09-26 15:20:45,815,16.0,8.0,103.0,12.0,30,24.0,16,True,17.0,pydss,,https://nrel.github.io/PyDSS/index.html,22.0,2023-09-26 15:46:04,2.3.0,,29.0,15.0,2.0,2.0,https://pypi.org/project/pydss,29.0,,2.0,,,,,,,,,,
33,EGRET,steady-state,['python'],,grid-parity-exchange/Egret,https://github.com/grid-parity-exchange/Egret,BSD,Tools for Power Systems Optimization Modeling.,https://github.com/grid-parity-exchange/Egret,2019-01-28 18:41:03,2023-10-05 12:10:29,2023-05-23 19:30:40,1058,45.0,14.0,231.0,38.0,108,38.0,15,True,44.0,,,,,2023-04-03 23:11:48,0.5.5,,,6.0,5.0,5.0,,,,3.0,,,,,,,,,,
34,py-dss-interface,intf,['python'],,PauloRadatz/py_dss_interface,https://github.com/PauloRadatz/py_dss_interface,MIT,A package for access to direct dll version of OpenDSS.,https://github.com/PauloRadatz/py_dss_interface,2020-06-12 18:58:36,2023-08-19 23:10:20,2023-08-19 23:10:17,528,8.0,6.0,48.0,21.0,20,6.0,14,True,32.0,py-dss-interface,,https://py-dss-interface.readthedocs.io/en/latest/,1.0,2022-07-23 19:49:38,1.0.3,,432.0,1.0,22.0,22.0,https://pypi.org/project/py-dss-interface,432.0,,3.0,,,,,,,,,,
35,PyPSA-Eur-Sec,steady-state,['python'],,PyPSA/pypsa-eur-sec,https://pypsa.org,MIT,Sector-Coupled Optimisation Model of the European Energy System.,https://github.com/PyPSA/pypsa-eur-sec,2019-04-17 15:43:45,2023-06-25 18:14:35,2023-03-18 12:51:31,1055,47.0,15.0,198.0,,82,22.0,13,True,,,,https://pypsa-eur-sec.readthedocs.io/en/latest/?badge=latest,,2023-02-16 20:39:50,0.7.0,,,7.0,,,,,,3.0,,,,,,-4.0,,,,
36,PowerSystems,dynamic,,,modelica-3rdparty/PowerSystems,https://github.com/modelica-3rdparty/PowerSystems,https://modelica.org/licenses/ModelicaLicense2/,Modelica 3rd party library for electrical power systems.,https://github.com/modelica-3rdparty/PowerSystems,2013-04-19 08:46:45,2023-03-20 17:22:14,2023-03-20 17:17:24,189,34.0,28.0,17.0,27.0,55,10.0,13,True,9.0,,,https://build.openmodelica.org/Documentation/PowerSystems.html,,2023-03-20 16:24:10,1.0.1,,,6.0,,,,,,3.0,,,,,,,,,,
37,STEPS,dynamic,,,changgang/steps,https://github.com/changgang/steps,MIT,Balanced large-scale AC-DC hybrid power system analysis.,https://github.com/changgang/steps,2019-08-24 12:09:47,2023-10-16 11:53:46,2023-10-16 11:50:08,556,14.0,4.0,,1.0,38,4.0,13,True,1.0,,,https://github.com/changgang/steps/wiki/,13.0,2023-10-16 12:20:36,2.0.0,8.0,0.0,5.0,5.0,5.0,,,,3.0,,,,,,4.0,,,,
38,PowerGraphics,vis,['julia'],,nrel-siip/powergraphics.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Visualization for PowerSimulations; Part of the SIIP at NREL.,https://github.com/NREL-Sienna/PowerGraphics.jl,2020-02-19 23:29:27,2023-10-03 18:32:27,2023-09-16 04:58:49,539,9.0,9.0,77.0,20.0,22,9.0,13,True,13.0,,,https://nrel-siip.github.io/PowerSimulationsDynamics.jl/stable/,9.0,2023-09-16 05:24:50,0.16.0,,,37.0,,,,,,1.0,,,,,,,,,,NREL-Sienna/PowerGraphics.jl
39,GasModels.jl,gasnet,['julia'],,lanl-ansi/GasModels.jl,https://github.com/lanl-ansi/GasModels.jl,BSD-3,Gas Network Optimization.,https://github.com/lanl-ansi/GasModels.jl,2016-08-29 16:01:10,2022-11-22 22:18:53,2022-11-22 22:16:01,1011,13.0,9.0,107.0,98.0,62,11.0,12,True,47.0,,,https://lanl-ansi.github.io/GasModels.jl/latest/,,2022-07-25 23:24:15,0.9.2,,,19.0,,,,,,3.0,,,,,,,,,,
40,LTB AGVis,vis,"['ltb', 'curent']",,CURENT/agvis,https://curent.github.io/,GPL-3.0,Geographical Visualization for Power Grid; Part of CURENT LTB.,https://github.com/CURENT/agvis,2019-08-30 19:15:27,2023-10-25 17:06:04,2023-09-13 18:30:17,488,6.0,1.0,39.0,6.0,4,9.0,10,True,16.0,,,https://agvis.readthedocs.io/en/latest/,26.0,2023-08-03 15:12:50,3.2.1,9.0,1.0,2.0,,,,,,3.0,,,,,,,,,,
41,RLGC,mrl,"['python', 'jupyter']",,RLGC-Project/RLGC,https://github.com/RLGC-Project/RLGC,BSD,RL for Grid Control (RLGC).,https://github.com/RLGC-Project/RLGC,2018-12-03 19:07:39,2022-04-08 07:14:43,2022-04-08 07:12:43,90,27.0,4.0,3.0,10.0,94,4.0,9,False,5.0,,,,,2020-12-23 06:10:29,V1.0.0_RC,,,2.0,,,,,,3.0,,,,,,,,,,
42,DSSData,intf,['python'],,felipemarkson/dssdata,https://github.com/felipemarkson/dssdata,MIT,A micro-framework for simulation and data analysis of distribution systems modeled on OpenDSS.,https://github.com/felipemarkson/dssdata,2020-03-27 20:15:33,2023-04-10 13:02:09,2023-04-10 13:02:03,186,3.0,3.0,64.0,31.0,12,2.0,9,True,5.0,dssdata,,https://felipemarkson.github.io/dssdata/,,,,30.0,14.0,9.0,,,https://pypi.org/project/dssdata,14.0,,3.0,,,,,,,,,,
43,LTB DiME,msg,"['ltb', 'curent']",,CURENT/dime,https://curent.github.io/,GPL-3.0,Distributed Messaging Environment; Part of CURENT LTB.,https://github.com/CURENT/dime,2020-04-29 20:36:10,2023-07-31 21:24:25,2023-07-31 21:24:15,531,4.0,5.0,11.0,35.0,3,4.0,9,True,12.0,,,https://ltbdime.readthedocs.io/en/latest/,11.0,,,,,,,,,,,1.0,,,,,,4.0,,,,
44,PowerSAS.m,dynamic,,,ANL-CEEESA/powersas.m,https://github.com/ANL-CEEESA/powersas.m,BSD-3,Power grid analysis framework based on semi-analytical solutions.,https://github.com/ANL-CEEESA/powersas.m,2021-12-10 21:25:47,2023-07-25 20:40:28,2023-07-25 20:40:28,66,4.0,,4.0,,13,3.0,7,True,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,
45,andes_gym,mrl,"['python', 'curent']",,cuihantao/andes_gym,https://github.com/cuihantao/andes_gym,GPL-3,ANDES RL Environment for OpenAI Gym.,https://github.com/cuihantao/andes_gym,2020-04-19 18:18:34,2022-01-28 19:53:49,2022-01-28 19:53:49,31,4.0,3.0,1.0,,6,2.0,7,False,,andes,andes,,,,,,492.0,,,,https://pypi.org/project/andes,492.0,https://anaconda.org/anaconda/andes,3.0,,,,,,,,,,
46,OpenHybridSim,dynamic,,,OpenHybridSim/OpenHybridSim-code,https://github.com/OpenHybridSim/OpenHybridSim-code,BSD-3,Power system EMT-TS hybrid simulation.,https://github.com/OpenHybridSim/OpenHybridSim-code,2015-01-17 03:59:14,2020-05-05 20:35:13,2020-05-05 20:35:12,16,5.0,5.0,,,7,,6,False,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,
47,GSEIM,pe,['python'],,gseim/gseim,https://github.com/gseim/gseim,GPL-3.0,Interface Python to Ngspice and Xyce.,https://github.com/gseim/gseim,2021-06-08 11:11:31,2023-08-19 17:28:29,2023-08-19 17:26:55,52,2.0,3.0,14.0,4.0,7,3.0,5,True,2.0,,,https://gseim.github.io/build/html/index.html,1.0,,,,,,,,,,,1.0,,,,,,,,,,
48,Large-scale Testbed (LTB),cosimps,"['python', 'ltb', 'curent']",,CURENT/ltb,https://curent.github.io/,GPL-3.0,CURENT Large-scale Testbed.,https://github.com/CURENT/ltb,2019-03-08 01:57:49,2023-04-29 21:15:34,2023-04-29 21:15:34,62,2.0,2.0,7.0,4.0,3,4.0,4,True,1.0,,,https://ltb.readthedocs.io/en/latest/,,,,,,,,,,,,1.0,,,,,,,,,,
49,EasySimauto.jl,intf,['julia'],,mzy2240/EasySimauto.jl,https://github.com/mzy2240/EasySimauto.jl,Apache-2.0,Julia interface for EasySimAuto and PowerWorld.,https://github.com/mzy2240/EasySimauto.jl,2022-09-16 15:59:20,2023-07-31 19:46:50,2023-07-31 19:46:46,15,,1.0,,2.0,4,2.0,3,True,,,,,4.0,2022-09-27 15:08:27,0.1.0,,,1.0,,,,,,3.0,,,,,,,,,,
