,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id
27,pandapower,steady-state,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'university']",,e2nIEE/pandapower,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,https://www.pandapower.org/,2017-01-12 13:27:53,2026-02-05 10:20:32.000,2026-02-05 10:07:09,10676.0,539.0,153.0,1098.0,176.0,35,True,https://pandapower.readthedocs.io/en/latest/,46.0,1614.0,966.0,2026-01-15 11:51:21.000,3.3.2,57.0,50.0,pandapower,conda-forge/pandapower,,146727.0,610.0,534.0,https://pypi.org/project/pandapower,2026-01-14 12:23:09.000,76.0,146172.0,https://anaconda.org/conda-forge/pandapower,2025-10-27 08:12:12.961,36591.0,1.0,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,147.0,,
28,PyPSA,steady-state,"['gha', 'pypi', 'conda', 'python', 'jupyter', 'university']",,PyPSA/PyPSA,MIT,Python for Power System Analysis.,https://github.com/PyPSA/PyPSA,https://pypsa.org,2016-01-11 09:04:18,2026-02-05 16:06:52.000,2026-02-05 16:06:52,3197.0,597.0,131.0,1843.0,110.0,32,True,https://pypsa.readthedocs.io/en/latest/,68.0,1026.0,398.0,2026-01-13 13:23:28.000,1.0.7,82.0,76.0,pypsa,conda-forge/pypsa,,23334.0,356.0,317.0,https://pypi.org/project/pypsa,2026-01-13 13:23:28.000,39.0,20388.0,https://anaconda.org/conda-forge/pypsa,2026-01-14 12:12:13.515,197423.0,1.0,,,,,,,
29,PySCIPOpt,ops,"['gha', 'pypi', 'conda', 'python', 'lab']",,scipopt/PySCIPOpt,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,https://www.scipopt.org/,2016-05-19 14:29:21,2026-02-05 15:08:15.705,2026-02-05 10:08:50,2248.0,273.0,26.0,962.0,89.0,32,True,https://scipopt.github.io/PySCIPOpt/docs/html/,24.0,544.0,609.0,2025-11-28 17:22:10.000,6.0.0,74.0,54.0,PySCIPOpt,conda-forge/pyscipopt,,170720.0,504.0,418.0,https://pypi.org/project/PySCIPOpt,2025-11-28 17:19:45.000,86.0,159837.0,https://anaconda.org/conda-forge/pyscipopt,2026-02-05 15:08:15.705,653007.0,2.0,,,,,,,
30,Power Grid Model,steady-state,"['gha', 'pypi', 'conda', 'python', 'c', 'jupyter', 'non-profit']",,PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2026-02-05 08:18:05.000,2026-02-02 14:45:20,10081.0,53.0,107.0,208.0,61.0,31,True,https://power-grid-model.readthedocs.io/en/stable/,5.0,996.0,191.0,2026-02-02 16:09:25.000,1.13.2,799.0,637.0,power-grid-model,conda-forge/power-grid-model,1610.0,239250.0,51.0,38.0,https://pypi.org/project/power-grid-model,2026-02-02 16:09:25.000,13.0,106107.0,https://anaconda.org/conda-forge/power-grid-model,2026-02-03 01:24:49.085,4383106.0,1.0,,,,,,,
31,OSQP,ops,"['gha', 'pypi', 'conda', 'python', 'c', 'julia', 'octave', 'r', 'university']",,osqp/osqp,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,https://osqp.org,2016-09-27 03:02:46,2026-01-31 14:58:26.846,2025-11-10 12:54:10,2982.0,389.0,112.0,2063.0,36.0,30,True,https://osqp.org/docs/get_started/,40.0,311.0,278.0,2025-10-15 14:04:59.000,1.0.5,45.0,2.0,osqp,conda-forge/osqp,168821.0,2821752.0,147.0,,https://pypi.org/project/osqp,2026-01-26 21:12:22.000,147.0,2797415.0,https://anaconda.org/conda-forge/osqp,2026-01-31 14:58:26.846,1387469.0,2.0,,,,,,,
32,SCS,ops,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'r', 'c', 'university']",,cvxgrp/scs,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,https://github.com/cvxgrp/scs,2013-11-29 23:11:16,2026-02-05 12:00:28.000,2026-01-09 17:14:03,1300.0,141.0,43.0,614.0,32.0,29,True,https://www.cvxgrp.org/scs/,32.0,157.0,147.0,2026-01-09 17:52:41.000,3.2.11,48.0,12.0,scs,conda-forge/scs,,2596524.0,72.0,,https://pypi.org/project/scs,2026-01-09 17:52:41.000,72.0,2570989.0,https://anaconda.org/conda-forge/scs,2026-01-10 21:43:01.897,1608710.0,2.0,,,,,,,
33,OpenModelica,cosime,"['modelica', 'python', 'university']",,OpenModelica/OpenModelica,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,https://openmodelica.org,2015-05-03 16:59:29,2026-02-05 07:58:07.000,2026-02-05 07:58:07,37980.0,353.0,2143.0,1259.0,203.0,28,True,https://openmodelica.org/useresresources/userdocumentation,53.0,5896.0,6489.0,2026-01-13 08:19:01.000,1.26.1,39.0,185.0,,,505.0,471.0,,,,,,,,,,1.0,,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2026-01-13 08:12:45.294453,60367.0,6.0,
34,CVXOPT,opl,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'university']",,cvxopt/cvxopt,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,https://cvxopt.org/,2013-02-22 22:14:31,2025-12-13 07:52:10.018,2025-10-20 19:45:14,61.0,214.0,45.0,1028.0,10.0,28,True,http://cvxopt.org/userguide/,39.0,73.0,150.0,2023-08-09 14:30:49.000,1.3.2,17.0,,cvxopt,conda-forge/cvxopt,,676154.0,15139.0,14677.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,462.0,648555.0,https://anaconda.org/conda-forge/cvxopt,2025-12-13 07:52:10.018,1766363.0,2.0,,,,,,,
35,precice,cosime,"['gha', 'c', 'pypi', 'conda', 'university']",,precice/precice,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,https://precice.org/,2015-05-22 14:05:22,2026-02-05 16:46:46.000,2026-02-05 16:46:46,5612.0,213.0,202.0,878.0,66.0,26,True,https://precice.org/docs.html,35.0,1486.0,744.0,2026-01-14 15:28:58.000,3.3.1,36.0,57.0,pyprecice,conda-forge/pyprecice,41610.0,4549.0,8.0,,https://pypi.org/project/pyprecice,2025-10-16 08:59:43.000,8.0,924.0,https://anaconda.org/conda-forge/pyprecice,2025-10-16 10:22:35.141,149531.0,3.0,,precice/precice,https://hub.docker.com/r/precice/precice,2026-02-05 04:45:55.647397,35460.0,,
36,pandapipes,gasnet,"['gha', 'pypi', 'jupyter', 'python', 'university']",,e2nIEE/pandapipes,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,https://www.pandapipes.org/,2020-02-03 15:04:57,2026-01-28 16:45:37.000,2026-01-28 16:45:37,2272.0,77.0,92.0,205.0,29.0,26,True,https://jkpandapipes.readthedocs.io/en/latest/,9.0,570.0,89.0,2026-01-16 14:14:39.000,0.13.0,23.0,10.0,pandapipes,,,8869.0,52.0,38.0,https://pypi.org/project/pandapipes,2026-01-16 14:14:39.000,14.0,8869.0,,,,1.0,,,,,,,
37,JuMP,opl,"['gha', 'jupyter', 'julia', 'non-profit']",,jump-dev/JuMP.jl,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,https://jump.dev,2012-10-10 00:34:45,2026-02-03 20:06:11.000,2026-02-03 19:19:10,5138.0,413.0,17.0,2403.0,169.0,25,True,https://jump.dev/JuMP.jl/stable/,81.0,2522.0,1512.0,2026-01-16 22:05:53.000,1.29.4,90.0,21.0,,,,,,,,,,,,,,3.0,,,,,,,
38,Ipopt,ops,"['pypi', 'conda', 'python', 'non-profit']",,coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,https://www.coin-or.org/,2019-01-28 12:24:22,2026-02-01 12:31:04.000,2026-02-01 12:30:23,2430.0,304.0,9.0,1705.0,38.0,25,True,https://coin-or.github.io/Ipopt/,45.0,44.0,615.0,2025-07-30 10:34:09.000,releases/3.14.19,33.0,1.0,ipopt,conda-forge/ipopt,27950.0,34740.0,10.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,1001.0,https://anaconda.org/conda-forge/ipopt,2025-08-18 07:11:47.214,2133797.0,3.0,,,,,,,
39,VeraGrid,steady-state,"['gha', 'pypi', 'python', 'for-profit']",,SanPen/VeraGrid,MPL-2.0,"Cross-platform power systems software, power flows, investments analysis, optimization and plenty of other stuff.",https://github.com/SanPen/VeraGrid,https://www.eroots.tech/software,2016-01-13 15:40:10,2026-02-03 15:15:07.000,2026-02-02 19:25:28,16120.0,121.0,26.0,505.0,59.0,25,True,https://veragrid.readthedocs.io/en/latest/?badge=latest,35.0,157.0,272.0,2026-02-02 21:46:39.000,5.4.0,28.0,20.0,veragrid,,58.0,1311.0,,,https://pypi.org/project/veragrid,2025-08-27 07:46:25.000,,1311.0,,,,1.0,,,,,,,
40,Grid2Op,mrl,"['gha', 'pypi', 'jupyter', 'python', 'for-profit']",,rte-france/Grid2Op,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/Grid2op/grid2op,https://l2rpn.chalearn.org/,2019-10-10 17:04:46,2026-02-04 17:25:44.000,2026-02-04 16:33:24,3526.0,139.0,57.0,409.0,32.0,25,True,https://grid2op.readthedocs.io/en/latest/,20.0,335.0,328.0,2026-02-04 17:14:47.000,1.12.3,92.0,26.0,Grid2Op,,,3963.0,23.0,,https://pypi.org/project/Grid2Op,2025-07-24 18:24:04.000,23.0,3827.0,,,,1.0,,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,10364.0,1.0,Grid2op/grid2op
41,LTB ANDES,phasor,"['gha', 'azure', 'pypi', 'conda', 'jupyter', 'python', 'julia', 'university']",,CURENT/andes,GPL-3,Transient Stability Simulator; CURENT LTB.,https://github.com/CURENT/andes,https://ltb.curent.org/,2016-11-07 01:04:50,2026-02-04 16:02:19.000,2026-02-04 16:02:14,4679.0,143.0,15.0,330.0,27.0,25,True,https://docs.andes.app/en/latest/,15.0,295.0,67.0,2026-01-05 14:48:37.000,1.10.0,115.0,55.0,andes,conda-forge/andes,,11989.0,33.0,29.0,https://pypi.org/project/andes,2026-01-05 14:48:37.000,4.0,1474.0,https://anaconda.org/conda-forge/andes,2026-01-06 05:18:57.949,725597.0,1.0,,CURENT/andes,https://hub.docker.com/r/CURENT/andes,,,,
42,PowSyBl Core,steady-state,"['gha', 'java', 'non-profit']",,powsybl/powsybl-core,MPL-2.0,Framework to build power system software.,https://github.com/powsybl/powsybl-core,https://www.powsybl.org,2017-09-29 14:51:18,2026-02-05 17:47:05.000,2026-02-05 08:17:00,3669.0,52.0,276.0,155.0,124.0,25,True,https://www.javadoc.io/doc/com.powsybl/powsybl-core/latest/,22.0,3099.0,460.0,2026-01-12 16:44:56.000,7.1.1,100.0,63.0,,,,,94.0,94.0,,,,,,,,1.0,,,,,,,
43,ECOS,ops,"['python', 'julia', 'c', 'octave', 'r', 'university']",,embotech/ecos,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,https://github.com/embotech/ecos,2013-02-11 21:27:50,2025-11-06 08:27:49.404,2022-01-04 22:33:07,622.0,126.0,67.0,538.0,40.0,24,True,https://github.com/embotech/ecos/wiki,34.0,65.0,95.0,2024-06-18 03:47:45.000,2.0.14,24.0,,ecos,conda-forge/ecos,,812502.0,49.0,,https://pypi.org/project/ecos,2024-06-18 03:47:45.000,49.0,793741.0,https://anaconda.org/conda-forge/ecos,2025-11-06 08:27:49.404,1182001.0,3.0,-1.0,,,,,,
44,Clarabel.rs,ops,"['gha', 'pypi', 'conda', 'python', 'rust', 'university']",,oxfordcontrol/Clarabel.rs,Apache-2.0,Interior-point solver for convex conic optimisation in Rust.,https://github.com/oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34,2025-12-17 09:55:56.799,2025-09-25 13:24:15,629.0,38.0,14.0,518.0,11.0,24,True,https://oxfordcontrol.github.io/ClarabelDocs/stable/,12.0,151.0,49.0,2025-06-11 16:48:58.000,0.11.1,18.0,,clarabel,conda-forge/clarabel,,2349678.0,98.0,55.0,https://pypi.org/project/clarabel,2025-06-11 16:48:58.000,43.0,2338110.0,https://anaconda.org/conda-forge/clarabel,2025-12-17 09:55:56.799,323910.0,3.0,,,,,,,
